Date,Open,High,Low,Close,Volume
2024-01-02,2665.7,2668.7,2637.33,2648.84,0
2024-01-03,2648.84,2648.84,2581.62,2582.51,0
2024-01-04,2582.51,2595.53,2578.74,2579.88,0
2024-01-05,2579.88,2599.64,2563.88,2582.13,0
2024-01-08,2582.15,2625.48,2577.13,2625.48,0
2024-01-09,2625.48,2625.48,2596.31,2607.2,0
2024-01-10,2607.2,2614.29,2592.04,2611.62,0
2024-01-11,2611.62,2611.62,2572.64,2598.02,0
2024-01-12,2598.02,2627.62,2586.89,2591.34,0
2024-01-16,2591.34,2591.34,2558.81,2567.55,0
2024-01-17,2567.55,2567.55,2532.48,2547.64,0
2024-01-18,2547.64,2565.36,2537.6,2564.63,0
2024-01-19,2564.63,2590.28,2555.31,2590.2,0
2024-01-22,2590.2,2634.83,2590.2,2629.29,0
2024-01-23,2629.29,2649.13,2612.2,2620.26,0
2024-01-24,2620.26,2646.27,2599.36,2601.0,0
2024-01-25,2601.0,2631.35,2601.0,2620.18,0
2024-01-26,2620.18,2641.64,2620.18,2626.21,0
2024-01-29,2626.21,2662.18,2620.95,2661.94,0
2024-01-30,2661.94,2661.94,2643.88,2648.56,0
2024-01-31,2648.56,2654.05,2591.91,2592.82,0
2024-02-01,2592.82,2627.61,2578.52,2627.08,0
2024-02-02,2627.08,2633.84,2593.77,2622.59,0
2024-02-05,2622.59,2622.59,2571.7,2591.27,0
2024-02-06,2591.27,2610.24,2588.54,2609.87,0
2024-02-07,2609.87,2624.4,2598.32,2613.96,0
2024-02-08,2613.96,2646.44,2613.96,2645.44,0
2024-02-09,2645.44,2673.4,2645.44,2671.82,0
2024-02-12,2671.82,2713.58,2671.82,2704.1,0
2024-02-13,2704.1,2704.1,2604.2,2622.27,0
2024-02-14,2622.27,2676.85,2622.27,2674.21,0
2024-02-15,2674.21,2725.74,2674.21,2724.47,0
2024-02-16,2724.47,2724.94,2697.83,2700.29,0
2024-02-20,2700.29,2700.29,2665.54,2673.93,0
2024-02-21,2673.93,2673.93,2650.13,2666.08,0
2024-02-22,2666.08,2696.25,2666.08,2692.87,0
2024-02-23,2692.87,2709.32,2687.99,2699.36,0
2024-02-26,2699.36,2714.04,2694.37,2705.87,0
2024-02-27,2705.87,2733.34,2705.87,2731.88,0
2024-02-28,2731.88,2734.12,2715.32,2722.65,0
2024-02-29,2722.65,2755.0,2722.65,2741.48,0
2024-03-01,2741.48,2763.39,2732.34,2763.21,0
2024-03-04,2763.21,2779.43,2763.21,2765.87,0
2024-03-05,2765.87,2765.87,2736.32,2744.18,0
2024-03-06,2744.18,2771.52,2744.18,2761.48,0
2024-03-07,2761.48,2787.22,2761.48,2783.9,0
2024-03-08,2783.9,2817.65,2771.48,2777.88,0
2024-03-11,2777.88,2777.88,2754.77,2761.12,0
2024-03-12,2761.12,2774.51,2750.98,2768.03,0
2024-03-13,2768.03,2786.2,2766.05,2775.9,0
2024-03-14,2775.9,2775.9,2715.7,2733.18,0
2024-03-15,2733.18,2743.89,2717.91,2736.53,0
2024-03-18,2736.53,2745.58,2730.31,2730.72,0
2024-03-19,2730.72,2751.43,2720.26,2748.83,0
2024-03-20,2748.83,2799.25,2743.83,2793.15,0
2024-03-21,2793.15,2830.64,2793.15,2822.63,0
2024-03-22,2822.63,2824.29,2794.29,2794.81,0
2024-03-25,2794.81,2810.74,2793.53,2793.69,0
2024-03-26,2793.69,2811.15,2790.21,2790.51,0
2024-03-27,2790.51,2840.01,2790.51,2839.76,0
2024-03-28,2839.76,2862.43,2839.76,2851.86,0
2024-04-01,2851.86,2853.32,2823.32,2825.62,0
2024-04-02,2825.62,2825.62,2771.13,2782.29,0
2024-04-03,2782.29,2798.23,2771.52,2794.16,0
2024-04-04,2794.16,2823.26,2760.35,2765.09,0
2024-04-05,2765.09,2792.94,2760.91,2783.58,0
2024-04-08,2797.38,2805.11,2783.58,2797.38,0
2024-04-10,2797.38,2806.71,2732.57,2744.74,0
2024-04-11,2744.74,2756.48,2729.16,2751.38,0
2024-04-12,2751.38,2751.38,2692.56,2701.22,0
2024-04-15,2701.22,2723.84,2655.29,2663.73,0
2024-04-16,2663.73,2663.73,2633.97,2649.6,0
2024-04-17,2649.6,2666.2,2627.99,2628.24,0
2024-04-18,2628.24,2654.94,2618.54,2623.04,0
2024-04-19,2623.04,2641.15,2614.25,2630.74,0
2024-04-22,2630.74,2671.07,2630.74,2656.13,0
2024-04-23,2656.13,2706.1,2656.13,2697.11,0
2024-04-24,2697.11,2706.33,2677.48,2694.07,0
2024-04-25,2694.07,2694.07,2646.92,2677.03,0
2024-04-26,2677.03,2700.02,2677.03,2693.24,0
2024-04-29,2693.24,2716.74,2693.24,2710.98,0
2024-04-30,2710.98,2710.98,2659.23,2659.52,0
2024-05-01,2659.52,2712.42,2653.3,2666.11,0
2024-05-02,2666.11,2704.01,2663.96,2701.24,0
2024-05-03,2701.24,2751.05,2701.24,2727.05,0
2024-05-06,2727.05,2762.92,2727.05,2762.2,0
2024-05-07,2762.2,2777.95,2761.26,2761.26,0
2024-05-08,2761.26,2761.26,2740.91,2751.33,0
2024-05-09,2751.33,2781.59,2751.03,2780.52,0
2024-05-10,2780.52,2791.36,2764.5,2770.47,0
2024-05-13,2770.47,2796.99,2770.47,2772.96,0
2024-05-14,2773.0,2807.86,2773.0,2801.67,0
2024-05-15,2801.67,2831.39,2801.67,2824.42,0
2024-05-16,2824.43,2824.43,2803.4,2803.81,0
2024-05-17,2803.81,2811.5,2797.41,2804.82,0
2024-05-20,2804.82,2818.4,2803.2,2810.59,0
2024-05-21,2810.59,2810.59,2797.24,2802.54,0
2024-05-22,2802.54,2802.54,2775.66,2783.4,0
2024-05-23,2783.4,2791.96,2734.99,2741.22,0
2024-05-24,2741.22,2768.54,2741.22,2767.8,0
2024-05-28,2767.8,2781.43,2745.11,2753.59,0
2024-05-29,2753.59,2753.59,2716.45,2718.54,0
2024-05-30,2718.54,2745.88,2718.54,2739.14,0
