Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,marketCap,industry,sector,exchange,Symbol
2024-01-02 00:00:00-05:00,55.528963022221205,55.62323825868803,55.19899250184782,55.39697265625,7000,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-01-03 00:00:00-05:00,55.491258353996606,55.491258353996606,52.49325942993164,52.49325942993164,9100,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-01-04 00:00:00-05:00,52.37070295197636,53.73771573827679,52.24814224243164,52.24814224243164,5400,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-01-05 00:00:00-05:00,53.25690174957118,53.25690174957118,50.48516486670334,50.78684997558594,15600,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-01-08 00:00:00-05:00,50.43803093572034,51.14510613575381,49.5141197725744,50.21176528930664,4400,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-01-09 00:00:00-05:00,48.335653303466046,48.335653303466046,47.63800430297852,47.63800430297852,3400,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-01-10 00:00:00-05:00,47.27975714743516,48.08110750056322,47.27975714743516,48.03396987915039,9200,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-01-11 00:00:00-05:00,47.5625906504447,48.081111724275566,47.37403655185975,47.78885269165039,5600,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-01-12 00:00:00-05:00,48.32622704243127,49.21243018116129,48.165958404541016,48.165958404541016,5200,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-01-16 00:00:00-05:00,47.13834547236833,47.13834547236833,46.40298843383789,46.40298843383789,3300,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-01-17 00:00:00-05:00,48.03397321577763,48.03397321577763,46.58211135864258,46.58211135864258,3200,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-01-18 00:00:00-05:00,44.78142901228344,45.25281247557064,44.30061946213348,44.7625732421875,14200,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-01-19 00:00:00-05:00,45.01711458310399,45.648766611206206,44.21576424373283,44.59286880493164,15000,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-01-22 00:00:00-05:00,43.27299607639818,46.17671585083008,42.99016316898958,46.17671585083008,14500,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-01-23 00:00:00-05:00,46.4689745527744,46.4689745527744,45.733614033030655,45.865604400634766,5800,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-01-24 00:00:00-05:00,45.77133232823784,46.94979095458984,45.77133232823784,46.94979095458984,5700,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-01-25 00:00:00-05:00,46.28985358316466,47.24205017089844,46.19557833124087,47.24205017089844,4600,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-01-26 00:00:00-05:00,47.63800775587907,47.892555236816406,47.60972590123163,47.892555236816406,2300,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-01-29 00:00:00-05:00,47.609722336198416,49.87236404418945,47.1383389467311,49.87236404418945,5900,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-01-30 00:00:00-05:00,49.16529142459514,49.21242904663086,49.16529142459514,49.21242904663086,2000,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-01-31 00:00:00-05:00,47.9019830099157,47.9019830099157,46.88379312675119,46.89322280883789,4100,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-02-01 00:00:00-05:00,47.967982393813415,47.967982393813415,44.82856679141287,46.20500564575195,10500,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-02-02 00:00:00-05:00,45.733619689941406,46.18615095639069,45.733619689941406,45.733619689941406,4200,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-02-05 00:00:00-05:00,43.650102349744536,46.657530759200334,43.650102349744536,44.338321685791016,4500,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-02-06 00:00:00-05:00,42.94302663843168,44.574012756347656,42.94302663843168,44.574012756347656,3400,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-02-07 00:00:00-05:00,43.17871738155228,43.3766975402832,43.13157976228822,43.3766975402832,5000,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-02-08 00:00:00-05:00,43.37670185898913,44.03663938350061,43.37670185898913,43.697242736816406,11000,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-02-09 00:00:00-05:00,44.26290475645481,44.68715056234719,44.26290475645481,44.51745223999024,4500,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-02-12 00:00:00-05:00,46.64809892527269,47.42116738195693,46.44068908691406,46.44068908691406,6500,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-02-13 00:00:00-05:00,45.14910179420053,45.25280671834928,41.67029357242062,42.36793899536133,10300,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-02-14 00:00:00-05:00,43.22585873151517,44.78142547607422,42.43393443187294,44.78142547607422,8900,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-02-15 00:00:00-05:00,46.05492042298212,48.4688606262207,46.05492042298212,48.4688606262207,6500,0.38,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-02-16 00:00:00-05:00,48.06970441433802,48.06970441433802,46.14045132772137,47.014793395996094,9800,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-02-20 00:00:00-05:00,41.74024257916297,45.40867082481151,41.74024257916297,44.62936782836914,4000,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-02-21 00:00:00-05:00,43.74552599822559,44.31575012207031,43.71701606091408,44.31575012207031,3100,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-02-22 00:00:00-05:00,44.1921958695709,44.239713634678616,43.241826065924215,44.09716033935547,9900,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-02-23 00:00:00-05:00,45.51320595410656,45.51320595410656,45.40866470336914,45.40866470336914,4900,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-02-26 00:00:00-05:00,46.09293668167136,46.09293668167136,45.60824966430664,45.60824966430664,1700,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-02-27 00:00:00-05:00,45.61775184563915,45.61775184563915,45.427677154541016,45.427677154541016,2000,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-02-28 00:00:00-05:00,44.942988170290526,46.76769642411413,44.942988170290526,46.02640914916992,4100,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-02-29 00:00:00-05:00,46.88174519513541,47.62303249832161,46.88174519513541,47.46146774291992,4600,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-03-01 00:00:00-05:00,46.62514337115792,46.68216323852539,46.62514337115792,46.68216323852539,4000,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-03-04 00:00:00-05:00,47.803601496303294,47.803601496303294,46.68216481221329,47.09082412719727,3200,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-03-05 00:00:00-05:00,46.56812088225749,47.70856538404046,46.31152059745333,47.26189041137695,4700,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
2024-03-06 00:00:00-05:00,47.86062398825543,48.26928329467773,46.3780457864415,48.26928329467773,6300,0.0,0.0,4823.0,5620.0,61.21,37.0,43.6794,44.41095,253472832.0,Banks - Regional,Financial Services,NGM,FDBC
