Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,marketCap,industry,sector,exchange,Symbol
2024-01-02 00:00:00-05:00,57.880001068115234,57.880001068115234,56.84000015258789,57.16999816894531,61600,0.0,0.0,63519.0,84250.0,96.4,68.0,91.0436,85.812,24932519936.0,Entertainment,Communication Services,NMS,FWONA
2024-01-03 00:00:00-05:00,57.04999923706055,57.220001220703125,56.5,56.560001373291016,81600,0.0,0.0,63519.0,84250.0,96.4,68.0,91.0436,85.812,24932519936.0,Entertainment,Communication Services,NMS,FWONA
2024-01-04 00:00:00-05:00,56.869998931884766,56.869998931884766,56.150001525878906,56.2599983215332,229600,0.0,0.0,63519.0,84250.0,96.4,68.0,91.0436,85.812,24932519936.0,Entertainment,Communication Services,NMS,FWONA
2024-01-05 00:00:00-05:00,56.060001373291016,56.970001220703125,56.060001373291016,56.43999862670898,68500,0.0,0.0,63519.0,84250.0,96.4,68.0,91.0436,85.812,24932519936.0,Entertainment,Communication Services,NMS,FWONA
2024-01-08 00:00:00-05:00,56.7400016784668,57.27999877929688,56.47999954223633,57.040000915527344,40300,0.0,0.0,63519.0,84250.0,96.4,68.0,91.0436,85.812,24932519936.0,Entertainment,Communication Services,NMS,FWONA
2024-01-09 00:00:00-05:00,56.83000183105469,57.02999877929688,56.400001525878906,56.59999847412109,43000,0.0,0.0,63519.0,84250.0,96.4,68.0,91.0436,85.812,24932519936.0,Entertainment,Communication Services,NMS,FWONA
2024-01-10 00:00:00-05:00,56.38999938964844,56.83000183105469,56.09000015258789,56.63999938964844,58900,0.0,0.0,63519.0,84250.0,96.4,68.0,91.0436,85.812,24932519936.0,Entertainment,Communication Services,NMS,FWONA
2024-01-11 00:00:00-05:00,56.56999969482422,56.68000030517578,55.86000061035156,56.41999816894531,48000,0.0,0.0,63519.0,84250.0,96.4,68.0,91.0436,85.812,24932519936.0,Entertainment,Communication Services,NMS,FWONA
2024-01-12 00:00:00-05:00,56.86000061035156,57.959999084472656,56.810001373291016,57.52000045776367,71400,0.0,0.0,63519.0,84250.0,96.4,68.0,91.0436,85.812,24932519936.0,Entertainment,Communication Services,NMS,FWONA
2024-01-16 00:00:00-05:00,57.0099983215332,57.38999938964844,56.59000015258789,56.970001220703125,89200,0.0,0.0,63519.0,84250.0,96.4,68.0,91.0436,85.812,24932519936.0,Entertainment,Communication Services,NMS,FWONA
2024-01-17 00:00:00-05:00,56.630001068115234,57.630001068115234,56.630001068115234,56.810001373291016,45600,0.0,0.0,63519.0,84250.0,96.4,68.0,91.0436,85.812,24932519936.0,Entertainment,Communication Services,NMS,FWONA
2024-01-18 00:00:00-05:00,56.90999984741211,57.13999938964844,56.27999877929688,56.68999862670898,100100,0.0,0.0,63519.0,84250.0,96.4,68.0,91.0436,85.812,24932519936.0,Entertainment,Communication Services,NMS,FWONA
2024-01-19 00:00:00-05:00,56.630001068115234,56.95000076293945,56.40999984741211,56.7599983215332,35500,0.0,0.0,63519.0,84250.0,96.4,68.0,91.0436,85.812,24932519936.0,Entertainment,Communication Services,NMS,FWONA
2024-01-22 00:00:00-05:00,57.150001525878906,57.310001373291016,56.56999969482422,57.02999877929688,63200,0.0,0.0,63519.0,84250.0,96.4,68.0,91.0436,85.812,24932519936.0,Entertainment,Communication Services,NMS,FWONA
