Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,marketCap,industry,sector,exchange,Symbol
2024-01-02 00:00:00-05:00,19.0,19.209999084472656,18.61000061035156,18.690000534057617,41800,0.0,0.0,72218.0,82530.0,32.08,16.35,29.4063,25.564075,392613664.0,Information Technology Services,Technology,NGM,IBEX
2024-01-03 00:00:00-05:00,18.690000534057617,18.690000534057617,17.850000381469727,17.920000076293945,44200,0.0,0.0,72218.0,82530.0,32.08,16.35,29.4063,25.564075,392613664.0,Information Technology Services,Technology,NGM,IBEX
2024-01-04 00:00:00-05:00,18.0,18.229999542236328,17.8700008392334,17.8799991607666,29400,0.0,0.0,72218.0,82530.0,32.08,16.35,29.4063,25.564075,392613664.0,Information Technology Services,Technology,NGM,IBEX
2024-01-05 00:00:00-05:00,17.770000457763672,17.989999771118164,17.18000030517578,17.25,119600,0.0,0.0,72218.0,82530.0,32.08,16.35,29.4063,25.564075,392613664.0,Information Technology Services,Technology,NGM,IBEX
2024-01-08 00:00:00-05:00,17.299999237060547,17.610000610351562,17.25,17.59000015258789,36300,0.0,0.0,72218.0,82530.0,32.08,16.35,29.4063,25.564075,392613664.0,Information Technology Services,Technology,NGM,IBEX
2024-01-09 00:00:00-05:00,17.360000610351562,17.510000228881836,17.010000228881836,17.190000534057617,59400,0.0,0.0,72218.0,82530.0,32.08,16.35,29.4063,25.564075,392613664.0,Information Technology Services,Technology,NGM,IBEX
2024-01-10 00:00:00-05:00,17.229999542236328,17.399999618530273,17.09000015258789,17.270000457763672,64700,0.0,0.0,72218.0,82530.0,32.08,16.35,29.4063,25.564075,392613664.0,Information Technology Services,Technology,NGM,IBEX
2024-01-11 00:00:00-05:00,17.200000762939453,17.309999465942383,17.1200008392334,17.290000915527344,32100,0.0,0.0,72218.0,82530.0,32.08,16.35,29.4063,25.564075,392613664.0,Information Technology Services,Technology,NGM,IBEX
2024-01-12 00:00:00-05:00,17.469999313354492,17.665000915527344,17.399999618530273,17.43000030517578,35800,0.0,0.0,72218.0,82530.0,32.08,16.35,29.4063,25.564075,392613664.0,Information Technology Services,Technology,NGM,IBEX
2024-01-16 00:00:00-05:00,17.239999771118164,17.489999771118164,16.670000076293945,16.770000457763672,37500,0.0,0.0,72218.0,82530.0,32.08,16.35,29.4063,25.564075,392613664.0,Information Technology Services,Technology,NGM,IBEX
