Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,marketCap,industry,sector,exchange,Symbol
2024-01-02 00:00:00-05:00,14.332001963836506,14.88323251028593,14.332001963836506,14.50369644165039,26700,0.0,0.0,17656.0,20980.0,17.92,13.34,15.2682,15.1681,227664944.0,Banks - Regional,Financial Services,NCM,LCNB
2024-01-03 00:00:00-05:00,14.557916829043718,14.7205753872481,14.196453462122266,14.332001686096191,28100,0.0,0.0,17656.0,20980.0,17.92,13.34,15.2682,15.1681,227664944.0,Banks - Regional,Financial Services,NCM,LCNB
2024-01-04 00:00:00-05:00,14.440439274498203,14.440439274498203,13.834989842626578,14.006684303283691,18800,0.0,0.0,17656.0,20980.0,17.92,13.34,15.2682,15.1681,227664944.0,Banks - Regional,Financial Services,NCM,LCNB
2024-01-05 00:00:00-05:00,14.05186785848926,14.413330348141352,14.024758387213993,14.187416076660156,50100,0.0,0.0,17656.0,20980.0,17.92,13.34,15.2682,15.1681,227664944.0,Banks - Regional,Financial Services,NCM,LCNB
2024-01-08 00:00:00-05:00,14.241636036211275,14.277782285570408,13.988611428902784,14.232599258422852,25200,0.0,0.0,17656.0,20980.0,17.92,13.34,15.2682,15.1681,227664944.0,Banks - Regional,Financial Services,NCM,LCNB
2024-01-09 00:00:00-05:00,14.06994139495926,14.341038709336168,13.943429946899414,13.943429946899414,13300,0.0,0.0,17656.0,20980.0,17.92,13.34,15.2682,15.1681,227664944.0,Banks - Regional,Financial Services,NCM,LCNB
2024-01-10 00:00:00-05:00,14.006685137854912,14.097051193139547,13.618112306643384,13.726551055908203,19800,0.0,0.0,17656.0,20980.0,17.92,13.34,15.2682,15.1681,227664944.0,Banks - Regional,Financial Services,NCM,LCNB
2024-01-11 00:00:00-05:00,13.581966466002564,13.75366180385624,13.41930876810307,13.66329574584961,26900,0.0,0.0,17656.0,20980.0,17.92,13.34,15.2682,15.1681,227664944.0,Banks - Regional,Financial Services,NCM,LCNB
2024-01-12 00:00:00-05:00,13.816917012434098,14.124160564052294,13.347015768978585,13.36508846282959,23400,0.0,0.0,17656.0,20980.0,17.92,13.34,15.2682,15.1681,227664944.0,Banks - Regional,Financial Services,NCM,LCNB
2024-01-16 00:00:00-05:00,13.410270616733785,13.717514148341111,13.103027085126458,13.328941345214844,19400,0.0,0.0,17656.0,20980.0,17.92,13.34,15.2682,15.1681,227664944.0,Banks - Regional,Financial Services,NCM,LCNB
2024-01-17 00:00:00-05:00,13.374124747317774,13.545819210644543,13.2837586960124,13.464489936828612,20000,0.0,0.0,17656.0,20980.0,17.92,13.34,15.2682,15.1681,227664944.0,Banks - Regional,Financial Services,NCM,LCNB
2024-01-18 00:00:00-05:00,13.6904052614497,13.6904052614497,13.247613471777294,13.4283447265625,16000,0.0,0.0,17656.0,20980.0,17.92,13.34,15.2682,15.1681,227664944.0,Banks - Regional,Financial Services,NCM,LCNB
2024-01-19 00:00:00-05:00,13.455454613643443,13.726551055908203,13.347015864378625,13.726551055908203,25600,0.0,0.0,17656.0,20980.0,17.92,13.34,15.2682,15.1681,227664944.0,Banks - Regional,Financial Services,NCM,LCNB
2024-01-22 00:00:00-05:00,13.898247215518325,13.99764919281006,13.545820613092795,13.99764919281006,20300,0.0,0.0,17656.0,20980.0,17.92,13.34,15.2682,15.1681,227664944.0,Banks - Regional,Financial Services,NCM,LCNB
2024-01-23 00:00:00-05:00,14.160306723146658,14.160306723146658,13.383161933034394,13.40123462677002,18500,0.0,0.0,17656.0,20980.0,17.92,13.34,15.2682,15.1681,227664944.0,Banks - Regional,Financial Services,NCM,LCNB
2024-01-24 00:00:00-05:00,13.591003072185082,13.934392881752668,13.356052013776536,13.735588073730469,19900,0.0,0.0,17656.0,20980.0,17.92,13.34,15.2682,15.1681,227664944.0,Banks - Regional,Financial Services,NCM,LCNB
2024-01-25 00:00:00-05:00,13.961502334379947,14.024758918812674,13.455454829685642,13.853063583374023,22100,0.0,0.0,17656.0,20980.0,17.92,13.34,15.2682,15.1681,227664944.0,Banks - Regional,Financial Services,NCM,LCNB
