Date,Open,High,Low,Close,Volume
2024-01-02,642.4,651.37,641.03,646.85,1412911
2024-01-03,646.85,648.61,640.43,643.14,1518318
2024-01-04,643.14,643.52,636.19,636.53,1356735
2024-01-05,636.53,642.76,632.48,637.25,1950864
2024-01-08,637.25,647.9,635.96,647.9,1482107
2024-01-09,647.9,652.59,643.26,651.99,2058386
2024-01-10,651.99,664.24,650.89,663.44,1878074
2024-01-11,663.44,665.14,658.23,663.58,1399501
2024-01-12,663.58,666.74,660.55,661.25,1149517
2024-01-16,661.25,666.7,658.11,663.95,1229846
2024-01-17,663.95,664.85,659.66,664.43,1268854
2024-01-18,664.19,664.19,657.48,661.63,1083944
2024-01-19,661.63,662.81,654.8,657.81,1298425
2024-01-22,657.81,664.46,655.36,660.19,1268297
2024-01-23,660.19,663.75,658.63,661.75,1206149
2024-01-24,661.75,663.27,645.3,646.44,1738680
2024-01-25,646.44,661.12,646.44,660.59,1666869
2024-01-26,662.79,667.05,658.03,660.6,1095245
2024-01-29,661.42,667.62,658.12,666.97,1277192
2024-01-30,666.89,668.44,659.78,660.92,1324890
2024-01-31,660.92,664.86,645.52,648.66,1294259
2024-02-01,648.9,663.57,648.9,662.52,1445608
2024-02-02,660.76,662.11,651.74,654.17,1432224
2024-02-05,654.17,654.17,644.07,647.49,1434571
2024-02-06,647.49,653.69,645.55,646.15,2429110
2024-02-07,636.44,636.89,627.05,633.21,4256067
2024-02-08,633.21,637.6,628.95,637.23,2499085
2024-02-09,637.23,637.23,630.01,636.35,2212076
2024-02-12,636.51,654.91,636.51,654.22,4197053
2024-02-13,654.22,654.22,632.82,647.37,4672652
2024-02-14,648.0,654.38,640.54,648.3,2194316
2024-02-15,648.3,657.38,648.3,653.77,1606820
2024-02-16,653.77,654.43,647.45,652.69,1537892
2024-02-20,652.69,663.59,652.28,655.46,2120059
2024-02-21,655.46,661.03,649.64,653.61,1472155
2024-02-22,649.77,658.63,646.82,656.24,1529334
2024-02-23,655.02,660.99,651.8,656.5,1499576
2024-02-26,656.5,665.9,654.55,660.66,1181165
2024-02-27,660.66,665.47,659.23,665.18,1290544
2024-02-28,666.0,666.0,637.48,642.07,2183294
2024-02-29,642.07,645.67,635.53,636.75,2661173
2024-03-01,636.75,637.8,628.92,632.86,1365005
2024-03-04,632.86,636.22,630.17,632.57,1417556
2024-03-05,632.57,644.44,632.57,636.96,1648432
2024-03-06,640.67,643.36,630.07,634.37,1787223
2024-03-07,634.37,646.64,634.37,645.87,1851021
2024-03-08,645.87,651.27,643.09,650.33,1751233
2024-03-11,650.33,669.63,650.33,662.86,2217841
2024-03-12,662.86,666.09,654.41,658.07,1406416
2024-03-13,661.58,666.33,660.53,663.6,1915736
2024-03-14,661.07,664.93,655.33,659.62,2677474
2024-03-15,659.62,673.23,656.25,672.52,4604712
2024-03-18,672.52,675.46,669.0,670.28,1810068
2024-03-19,670.28,674.74,668.12,674.7,1905316
2024-03-20,675.44,675.68,664.6,667.5,1687670
2024-03-21,667.5,672.57,662.75,668.77,1279066
2024-03-22,668.77,676.52,668.77,674.98,1209785
2024-03-25,676.94,681.57,674.72,680.38,1560854
2024-03-26,681.0,685.83,673.32,673.4,1705833
2024-03-27,676.9,680.59,674.26,676.8,1353231
2024-03-28,676.8,681.16,672.3,674.59,1319573
2024-04-01,674.59,676.28,669.95,673.7,1376774
2024-04-02,674.44,680.75,674.15,680.43,2066472
2024-04-03,680.1,680.75,675.86,678.58,1535018
2024-04-04,678.58,682.09,668.81,672.16,1460022
2024-04-05,672.16,673.44,667.77,671.4,1315988
2024-04-08,671.4,673.24,666.31,666.46,1591066
2024-04-09,666.46,685.13,666.46,669.81,2505832
2024-04-10,669.81,673.27,664.45,670.56,1939216
2024-04-11,670.56,676.77,667.35,673.76,1564828
2024-04-12,673.76,673.76,658.68,659.39,1456230
2024-04-15,663.71,663.71,643.94,644.59,2074091
2024-04-16,644.59,644.59,629.16,629.83,2327129
2024-04-17,629.83,640.86,629.83,634.26,1979887
2024-04-18,634.26,641.29,634.26,639.01,1626512
2024-04-19,639.01,647.79,637.31,642.74,1490000
2024-04-22,642.74,651.94,641.1,646.01,1808463
2024-04-23,645.68,645.68,637.78,641.96,2171082
2024-04-24,641.96,644.43,621.43,641.03,2617214
2024-04-25,640.2,641.75,627.93,631.36,2004677
2024-04-26,644.81,647.81,626.98,627.39,1808348
2024-04-29,627.39,640.92,627.39,636.71,2891658
2024-04-30,635.98,635.98,582.34,582.34,6217625
2024-05-01,578.27,593.28,578.2,580.11,3126747
2024-05-02,580.6,595.7,580.6,586.98,2925234
2024-05-03,588.29,595.3,585.84,586.69,2219839
2024-05-06,589.22,591.2,576.04,578.19,2574985
2024-05-07,578.19,588.74,578.19,588.46,3106172
2024-05-08,590.0,595.84,589.43,591.43,2067681
2024-05-09,591.43,599.14,591.43,597.52,1632372
2024-05-10,597.52,606.22,597.05,602.23,2107369
2024-05-13,602.46,604.8,596.47,596.82,2079982
2024-05-14,601.45,604.93,589.31,592.16,2671973
2024-05-15,592.78,594.85,580.12,580.89,2313258
2024-05-16,580.89,587.05,580.89,585.5,2259447
2024-05-17,585.5,586.44,575.45,576.7,1652535
2024-05-20,576.21,576.26,561.97,564.24,2327408
2024-05-21,564.98,566.61,559.76,562.39,1461268
2024-05-22,560.42,564.0,554.97,554.97,1451504
2024-05-23,554.95,556.6,547.42,548.86,1648963
2024-05-24,549.16,554.02,543.48,544.36,1541982
2024-05-28,544.36,548.21,539.1,539.45,2897004
2024-05-29,539.45,549.12,535.67,538.43,3020731
2024-05-30,538.43,543.15,537.52,540.28,2557149
2024-05-31,540.28,586.35,538.07,576.98,5638152
2024-06-03,576.98,576.98,556.7,561.37,3856570
2024-06-04,561.37,561.37,553.2,555.49,2471429
2024-06-05,555.49,556.95,549.33,553.27,3486127
2024-06-06,553.27,557.15,550.26,553.25,4282652
2024-06-07,553.25,553.25,543.87,544.4,2211166
2024-06-10,544.4,547.53,540.87,544.18,2357350
2024-06-11,541.06,541.78,532.0,534.03,3378927
2024-06-12,534.85,539.66,533.68,535.58,3806251
2024-06-13,534.52,535.09,523.68,528.86,2011393
2024-06-14,526.01,527.69,519.47,521.99,2988642
2024-06-17,521.99,530.19,520.67,529.96,2325946
2024-06-18,529.96,533.43,526.64,532.45,2460072
2024-06-20,530.25,536.46,528.3,535.17,1998385
2024-06-21,535.17,545.08,533.37,538.69,6340630
2024-06-24,538.69,547.48,538.69,542.66,2170308
2024-06-25,542.66,543.88,535.62,541.23,2156671
2024-06-26,539.11,540.12,535.05,538.98,2320195
2024-06-27,538.98,540.47,533.02,538.18,2238788
2024-06-28,538.18,541.53,535.73,540.92,2821349
2024-07-01,540.92,544.33,533.71,537.75,1919818
2024-07-02,537.75,538.92,533.23,537.02,1472199
2024-07-03,537.02,542.75,534.56,535.75,1182048
2024-07-05,535.75,535.75,526.19,529.87,2692732
2024-07-08,529.87,532.32,527.96,530.31,2061497
2024-07-09,528.67,534.42,526.43,527.25,2089344
2024-07-10,527.34,529.59,524.52,529.3,1694876
2024-07-11,531.63,540.21,530.14,536.75,1792742
2024-07-12,536.75,540.27,532.66,537.38,2011115
2024-07-15,536.64,541.31,535.75,536.68,2127740
2024-07-16,536.68,548.3,536.68,547.94,1797629
2024-07-17,549.74,561.31,549.3,559.19,2267581
2024-07-18,551.18,561.95,549.24,549.24,2437862
2024-07-19,549.22,549.22,541.48,543.17,1330555
2024-07-22,543.17,545.97,536.57,542.41,1463395
2024-07-23,541.27,548.56,540.95,544.78,1433489
2024-07-24,544.78,549.51,543.52,548.04,2113299
2024-07-25,548.26,556.78,547.65,552.72,2458221
2024-07-26,550.28,567.73,548.98,563.72,1990646
2024-07-29,560.45,560.45,545.2,550.87,2231722
2024-07-30,550.53,554.1,547.26,550.16,1876958
2024-07-31,549.5,554.93,546.95,547.22,1686701
2024-08-01,549.02,552.62,543.36,545.37,1612253
2024-08-02,547.49,549.41,536.47,547.12,2285081
2024-08-05,547.12,548.67,526.63,528.13,3183263
2024-08-06,529.03,562.2,529.03,550.0,4941727
2024-08-07,550.17,559.66,534.88,534.88,3803141
2024-08-08,534.06,544.53,534.06,542.94,2196067
2024-08-09,542.43,545.44,539.3,544.6,1563044
2024-08-12,544.68,547.63,533.68,534.63,2371968
2024-08-13,534.22,548.27,533.22,545.55,1736299
2024-08-14,547.05,547.05,540.15,540.65,1066769
2024-08-15,544.01,556.16,544.01,553.29,1962938
2024-08-16,553.29,555.16,550.33,554.46,1174930
2024-08-19,554.46,559.26,554.46,557.13,1329198
2024-08-20,555.66,556.62,553.32,554.16,1420109
2024-08-21,556.61,559.59,549.59,551.54,1696029
2024-08-22,553.09,554.85,550.02,550.59,1268848
2024-08-23,552.55,557.06,549.84,555.91,784450
2024-08-26,556.28,562.25,554.99,555.75,1101999
2024-08-27,556.74,557.26,551.52,552.71,1268642
2024-08-28,551.9,551.9,544.69,549.46,1191902
2024-08-29,553.09,553.33,542.71,549.65,1145905
2024-08-30,547.93,553.8,546.74,552.89,2552252
2024-09-03,552.89,587.64,546.41,580.27,7924807
2024-09-04,579.46,584.58,565.8,571.18,3934804
2024-09-05,573.96,576.39,569.92,571.96,2283528
2024-09-06,570.49,576.41,570.0,572.8,1759793
2024-09-09,572.94,578.5,569.75,570.1,2253231
