Date,Open,High,Low,Close,Volume
2024-01-02,6160.83,6169.25,6027.62,6083.74,248356613
2024-01-03,6039.94,6084.38,6026.67,6035.38,238361997
2024-01-04,6035.07,6070.59,5997.04,6002.91,206839673
2024-01-05,6009.8,6059.0,5982.19,6001.25,219704163
2024-01-08,6037.7,6143.84,6032.49,6138.53,219825841
2024-01-09,6093.3,6173.71,6093.3,6162.15,239966106
2024-01-10,6177.3,6280.37,6177.3,6260.87,223264761
2024-01-11,6308.58,6364.13,6225.3,6305.29,231505167
2024-01-12,6320.98,6357.64,6308.18,6348.84,203241779
2024-01-16,6388.17,6397.43,6327.02,6363.76,228937015
2024-01-17,6327.29,6352.58,6260.92,6347.97,206633208
2024-01-18,6386.39,6417.54,6355.04,6416.0,207371482
2024-01-19,6445.85,6513.42,6423.33,6513.13,220285255
2024-01-22,6557.59,6581.08,6491.74,6518.87,293566560
2024-01-23,6513.82,6546.1,6474.74,6540.76,199820491
2024-01-24,6586.98,6647.29,6572.91,6578.22,225544145
2024-01-25,6620.91,6648.22,6571.45,6608.88,206048647
2024-01-26,6598.65,6633.48,6579.32,6593.37,181023249
2024-01-29,6616.25,6708.97,6610.51,6707.43,201896304
2024-01-30,6731.28,6731.71,6657.98,6687.72,222033370
2024-01-31,6647.96,6718.5,6518.74,6521.84,240055081
2024-02-01,6581.2,6646.13,6573.41,6616.52,209407760
2024-02-02,6609.8,6726.83,6609.8,6708.47,287692795
2024-02-05,6690.84,6710.03,6605.93,6646.33,364138483
2024-02-06,6664.57,6675.47,6583.34,6630.84,655959350
2024-02-07,6670.93,6762.25,6670.93,6756.97,612712536
2024-02-08,6764.59,6797.55,6760.26,6787.38,485895336
2024-02-09,6821.72,6892.29,6821.72,6882.49,394416366
2024-02-12,6879.91,6879.91,6785.19,6793.49,365879186
2024-02-13,6610.83,6707.04,6586.59,6647.89,357856064
2024-02-14,6693.02,6739.73,6664.3,6735.9,284165042
2024-02-15,6748.31,6748.31,6670.23,6698.92,271460123
2024-02-16,6702.12,6707.66,6613.3,6619.11,278831305
2024-02-20,6583.4,6606.74,6490.75,6571.12,309134025
2024-02-21,6450.38,6484.87,6411.09,6484.83,306811767
2024-02-22,6643.47,6671.48,6615.31,6645.94,308315482
2024-02-23,6704.23,6707.89,6632.63,6651.26,218911872
2024-02-26,6677.68,6703.25,6649.59,6657.21,268109309
2024-02-27,6675.18,6675.18,6601.61,6657.03,309247370
2024-02-28,6651.51,6665.21,6617.54,6653.05,232821527
2024-02-29,6676.15,6745.58,6638.62,6737.09,358178480
2024-03-01,6711.84,6786.82,6708.01,6782.83,309774375
2024-03-04,6763.21,6791.09,6743.79,6767.93,292042035
2024-03-05,6724.42,6726.24,6501.86,6537.28,341179229
2024-03-06,6599.56,6616.46,6520.18,6571.82,447191686
2024-03-07,6640.38,6687.66,6569.72,6674.75,360747774
2024-03-08,6663.21,6717.59,6604.69,6630.86,323114468
2024-03-11,6595.83,6645.22,6566.01,6623.83,261187956
2024-03-12,6698.55,6797.38,6663.65,6792.85,313260999
2024-03-13,6813.64,6813.64,6739.08,6767.93,275912898
2024-03-14,6824.15,6877.95,6796.79,6842.27,305651392
2024-03-15,6730.77,6755.18,6620.02,6660.9,438903176
