Date,Open,High,Low,Close,Volume
2024-01-02,1735.75,1742.08,1693.1,1706.51,4253499
2024-01-03,1690.67,1691.64,1657.64,1661.61,5058850
2024-01-04,1657.18,1671.22,1643.0,1663.68,6326008
2024-01-05,1663.16,1676.47,1652.48,1657.18,4623299
2024-01-08,1658.92,1691.79,1658.27,1691.65,4219369
2024-01-09,1691.29,1701.54,1670.48,1680.77,4140007
2024-01-10,1676.09,1694.49,1656.6,1693.89,4440496
2024-01-11,1694.76,1694.76,1659.09,1681.95,4389955
2024-01-12,1687.39,1695.74,1667.88,1689.46,5227446
2024-01-16,1683.81,1685.38,1662.22,1672.91,4517732
2024-01-17,1663.31,1663.31,1636.27,1650.12,6560716
2024-01-18,1655.39,1690.87,1655.39,1682.0,7481041
2024-01-19,1684.99,1706.45,1675.77,1700.68,6632859
2024-01-22,1706.37,1761.71,1706.37,1761.23,6092843
2024-01-23,1763.92,1770.44,1734.27,1737.86,5161838
2024-01-24,1748.27,1753.55,1723.36,1723.79,5743206
2024-01-25,1740.66,1756.72,1727.2,1744.22,7797724
2024-01-26,1745.06,1754.78,1720.79,1736.01,4134260
2024-01-29,1726.53,1751.41,1721.22,1750.45,4510136
2024-01-30,1739.6,1752.02,1732.3,1738.88,4314804
2024-01-31,1756.8,1783.86,1697.11,1718.07,6618058
2024-02-01,1706.42,1739.99,1667.62,1736.36,6382680
2024-02-02,1735.69,1840.31,1705.37,1831.4,10450514
2024-02-05,1830.73,1844.46,1802.63,1838.07,6096489
2024-02-06,1833.94,1884.31,1833.56,1872.69,6670894
2024-02-07,1887.92,1970.4,1884.86,1931.13,9179393
2024-02-08,1926.6,1946.98,1920.75,1945.46,6481361
2024-02-09,1953.36,1970.7,1930.48,1962.89,5245492
2024-02-12,1969.35,1969.35,1936.45,1945.83,4942901
2024-02-13,1923.52,1939.59,1896.84,1926.28,5759000
2024-02-14,1929.31,1963.48,1926.18,1954.99,6566964
2024-02-15,1966.75,1971.18,1927.96,1954.22,5250827
2024-02-16,1947.54,1952.88,1912.61,1914.62,5789679
2024-02-20,1898.51,1898.51,1852.97,1876.21,6517008
2024-02-21,1875.47,1906.66,1870.39,1904.04,4221129
2024-02-22,1922.69,1956.13,1922.69,1953.16,4702785
2024-02-23,1963.83,1978.03,1956.32,1965.54,4182594
2024-02-26,1961.38,1980.28,1955.76,1968.34,4759042
2024-02-27,1969.63,1970.23,1941.11,1951.82,5611292
2024-02-28,1935.92,1943.61,1912.14,1920.72,4853144
2024-02-29,1931.46,1960.86,1927.74,1952.1,6706142
2024-03-01,1951.61,1960.97,1930.09,1947.35,5198149
2024-03-04,1955.96,1979.88,1947.79,1949.37,4679567
2024-03-05,1937.78,1959.34,1914.23,1936.72,6491168
2024-03-06,1937.52,1976.81,1937.52,1948.45,5474606
2024-03-07,1954.37,1984.37,1954.37,1975.64,4388428
2024-03-08,1975.96,1986.6,1923.87,1925.31,4165588
2024-03-11,1932.55,1938.99,1914.86,1931.77,4253738
2024-03-12,1930.57,1966.91,1927.81,1962.19,2954638
2024-03-13,1962.31,1969.43,1937.94,1940.54,3403352
2024-03-14,1945.5,1945.5,1891.02,1915.9,4623137
2024-03-15,1912.81,1922.24,1888.76,1891.16,7561167
2024-03-18,1903.6,1905.39,1863.4,1865.44,5420843
2024-03-19,1857.28,1881.89,1853.98,1870.04,7194296
2024-03-20,1865.72,1915.59,1863.54,1912.89,5656841
2024-03-21,1928.43,1960.71,1923.41,1948.33,4625967
2024-03-22,1949.47,1951.19,1920.18,1933.4,4212943
