Date,Open,High,Low,Close,Volume
2024-01-02,1122.54,1122.54,1097.85,1101.37,26251444
2024-01-03,1100.33,1100.33,1078.5,1084.46,29843680
2024-01-04,1083.65,1096.27,1078.1,1091.71,47411712
2024-01-05,1088.58,1098.81,1083.78,1086.2,83463577
2024-01-08,1086.53,1096.57,1083.05,1095.7,37219658
2024-01-09,1096.51,1106.49,1091.63,1098.3,37163199
2024-01-10,1097.61,1101.96,1093.88,1097.66,29166933
2024-01-11,1096.8,1103.96,1089.07,1101.68,33176616
2024-01-12,1104.72,1106.07,1088.96,1091.38,25599246
2024-01-16,1090.66,1090.66,1074.26,1077.53,26012446
2024-01-17,1069.89,1069.89,1056.1,1066.89,27327242
2024-01-18,1069.42,1074.29,1063.18,1072.61,24221777
2024-01-19,1076.13,1078.4,1067.25,1078.13,31245543
2024-01-22,1081.11,1100.13,1081.11,1091.76,31189340
2024-01-23,1095.19,1109.74,1094.36,1098.44,23650606
2024-01-24,1100.8,1108.84,1093.0,1094.06,23783670
2024-01-25,1102.14,1110.61,1100.94,1109.26,27098359
2024-01-26,1110.26,1116.51,1105.89,1106.43,23146506
2024-01-29,1107.29,1111.64,1100.8,1111.57,25779889
2024-01-30,1107.47,1107.47,1090.9,1091.93,30857431
2024-01-31,1080.35,1097.48,1073.06,1080.73,36662868
2024-02-01,1079.11,1086.16,1065.01,1084.49,99492691
2024-02-02,1087.11,1095.44,1078.72,1093.04,57000209
2024-02-05,1091.95,1091.95,1062.62,1070.32,38306833
2024-02-06,1070.89,1085.41,1070.89,1084.53,41830026
2024-02-07,1109.4,1125.52,1102.8,1118.77,65673133
2024-02-08,1125.14,1136.84,1121.94,1128.99,48230894
2024-02-09,1100.61,1110.74,1090.44,1105.94,42464709
2024-02-12,1106.32,1117.45,1100.5,1100.99,43800954
2024-02-13,1091.3,1091.58,1073.03,1088.73,42374804
2024-02-14,1092.13,1120.85,1092.13,1120.35,31870997
2024-02-15,1120.88,1125.07,1112.29,1116.81,31258432
2024-02-16,1109.77,1110.55,1094.58,1095.15,31318028
2024-02-20,1092.17,1092.97,1070.85,1079.33,30348406
2024-02-21,1073.98,1076.96,1068.04,1075.12,26464626
2024-02-22,1079.27,1099.77,1078.91,1092.61,25325754
2024-02-23,1092.63,1095.06,1081.09,1081.18,26759611
2024-02-26,1080.51,1085.01,1073.68,1077.82,32393486
2024-02-27,1078.84,1078.88,1063.65,1068.91,31968649
2024-02-28,1066.3,1068.99,1054.71,1067.51,26626618
2024-02-29,1068.42,1072.81,1058.94,1062.65,31767751
2024-03-01,1060.67,1081.77,1058.52,1079.72,26169835
2024-03-04,1079.0,1079.14,1055.79,1055.88,28223365
2024-03-05,1048.75,1048.75,1032.43,1040.09,26737738
2024-03-06,1047.23,1054.55,1037.97,1043.81,26039087
2024-03-07,1049.58,1059.76,1040.72,1048.07,33074371
2024-03-08,1048.45,1058.61,1040.47,1046.27,28482091
2024-03-11,1044.04,1076.75,1043.16,1067.99,29209066
2024-03-12,1059.76,1062.93,1047.95,1057.37,27843885
2024-03-13,1056.79,1069.57,1054.21,1057.62,27997429
2024-03-14,1055.2,1057.72,1039.81,1046.65,32361075
2024-03-15,1044.02,1046.78,1035.51,1037.17,49202392
2024-03-18,1037.6,1038.25,1016.27,1017.29,34177717
2024-03-19,1016.46,1026.55,1011.96,1024.28,24036352
2024-03-20,1025.16,1038.44,1021.01,1035.76,27229330
2024-03-21,1039.47,1054.46,1036.46,1045.22,25487092
2024-03-22,1046.49,1046.49,1034.95,1037.31,33826195
2024-03-25,1037.4,1037.4,1009.98,1020.43,35536367
2024-03-26,1023.03,1028.89,1019.6,1024.16,28339944
2024-03-27,1026.99,1036.97,1026.99,1036.94,22090673
2024-03-28,1033.6,1050.3,1033.6,1043.46,23201012
2024-04-01,1042.99,1045.72,1036.0,1045.08,27822244
2024-04-02,1042.99,1042.99,1024.65,1033.01,27864942
2024-04-03,1032.44,1037.39,1023.44,1035.9,27333516
2024-04-04,1038.8,1048.5,1021.95,1024.78,32561394
2024-04-05,1024.25,1036.92,1021.66,1034.25,34347606
2024-04-08,1034.27,1048.55,1034.27,1042.65,22660753
2024-04-09,1042.58,1057.35,1042.58,1051.98,22577440
2024-04-10,1046.42,1050.06,1037.84,1043.25,36908188
2024-04-11,1044.8,1047.35,1033.27,1037.72,23536567
2024-04-12,1033.0,1033.0,1019.02,1019.37,21134530
2024-04-15,1021.29,1023.96,997.7,1001.4,29664958
2024-04-16,1002.85,1005.1,996.29,998.42,30702097
2024-04-17,998.63,1005.68,991.51,991.62,26533538
2024-04-18,994.67,997.11,978.64,981.38,26424824
2024-04-19,979.9,987.92,977.13,984.74,25634830
2024-04-22,986.54,990.58,981.31,983.51,30269913
2024-04-23,993.8,1006.48,990.99,997.93,30472074
2024-04-24,1007.43,1016.15,998.02,1006.2,36515692
2024-04-25,1005.41,1006.58,985.8,1004.97,28830458
2024-04-26,1004.96,1016.7,1004.25,1010.98,23415311
2024-04-29,1010.18,1021.95,1010.18,1015.28,26946605
2024-04-30,1005.44,1008.13,997.08,997.44,26226586
2024-05-01,995.99,1019.99,993.14,1003.89,34969362
2024-05-02,1008.1,1015.68,996.09,1011.51,76810353
2024-05-03,1017.58,1034.56,1017.58,1031.6,52186904
2024-05-06,1033.88,1044.56,1033.05,1044.23,40318367
2024-05-07,1045.84,1055.23,1043.09,1048.98,76866993
2024-05-08,1036.79,1043.19,1022.1,1022.1,46011200
2024-05-09,977.73,992.15,977.25,986.81,109221623
2024-05-10,986.67,992.99,982.75,989.89,44736734
2024-05-13,992.34,999.59,984.58,984.97,42211254
2024-05-14,986.17,997.67,985.28,994.89,49777271
2024-05-15,997.81,1006.38,993.48,1005.81,34061355
2024-05-16,1005.71,1007.44,1000.51,1002.04,37751206
2024-05-17,1010.69,1011.78,994.34,1001.79,31952692
2024-05-20,1000.15,1014.07,1000.03,1013.86,31349313
2024-05-21,1010.4,1013.34,1003.44,1009.09,87312543
2024-05-22,1007.69,1030.28,1007.69,1022.39,54754763
2024-05-23,1030.4,1030.4,1007.82,1014.03,37883539
2024-05-24,1014.31,1024.7,1013.42,1024.16,25327078
2024-05-28,1020.18,1029.46,1010.37,1024.19,39744055
2024-05-29,1020.4,1030.52,1015.76,1027.07,32301515
2024-05-30,1027.26,1029.76,1019.61,1027.64,41141999
2024-05-31,1030.12,1038.18,1021.88,1037.67,56142571
2024-06-03,1039.99,1051.93,1039.98,1048.11,35394980
2024-06-04,1043.43,1062.42,1042.16,1062.31,25354227
2024-06-05,1070.53,1076.27,1059.7,1075.73,27457746
2024-06-06,1074.52,1080.66,1071.25,1071.54,22704104
2024-06-07,1070.22,1077.5,1065.83,1066.56,25346033
2024-06-10,1060.6,1064.71,1050.39,1053.35,20797263
2024-06-11,1050.01,1058.32,1045.92,1052.64,19945909
2024-06-12,1058.01,1067.12,1051.33,1055.71,34127712
2024-06-13,1055.86,1066.0,1046.36,1046.78,24010663
2024-06-14,1047.38,1053.25,1043.92,1051.58,25979546
2024-06-17,1046.47,1062.57,1042.72,1058.88,32232618
2024-06-18,1058.73,1061.5,1051.45,1053.69,21101217
2024-06-20,1052.53,1055.38,1045.44,1052.11,21715601
2024-06-21,1053.93,1068.46,1050.25,1067.74,59625477
2024-06-24,1067.44,1075.44,1062.98,1067.0,30901736
2024-06-25,1066.27,1066.27,1054.68,1057.46,27421163
2024-06-26,1056.52,1065.17,1053.77,1060.79,24971653
2024-06-27,1060.81,1068.34,1057.18,1058.66,19709564
2024-06-28,1060.13,1063.9,1052.22,1054.39,83540875
2024-07-01,1052.49,1053.32,1038.41,1042.46,24818852
2024-07-02,1041.27,1050.68,1040.18,1047.91,21433218
2024-07-03,1047.69,1052.36,1046.39,1049.32,14290376
2024-07-05,1046.2,1049.44,1040.96,1049.08,22617636
2024-07-08,1049.9,1061.79,1045.46,1061.02,24903763
2024-07-09,1060.67,1061.13,1049.82,1053.97,22789340
2024-07-10,1055.82,1067.42,1052.7,1066.98,20883002
2024-07-11,1071.4,1085.64,1069.2,1074.69,37024195
2024-07-12,1083.17,1096.15,1083.17,1092.75,32103053
2024-07-15,1090.49,1097.82,1088.41,1093.06,31099801
2024-07-16,1094.71,1107.06,1094.71,1106.2,30173088
2024-07-17,1105.42,1105.42,1086.55,1089.07,27913301
2024-07-18,1088.34,1099.79,1082.15,1084.82,24370939
2024-07-19,1083.53,1083.97,1065.93,1068.22,21389585
2024-07-22,1072.36,1093.27,1069.97,1089.18,57120898
2024-07-23,1083.32,1085.21,1073.01,1079.89,30901197
2024-07-24,1082.51,1095.22,1077.56,1080.05,30710341
2024-07-25,1083.56,1096.81,1082.65,1084.54,27086244
2024-07-26,1086.78,1101.24,1085.06,1100.41,24486603
2024-07-29,1104.31,1113.17,1097.94,1110.31,25179388
2024-07-30,1111.64,1124.53,1111.4,1118.28,25087924
2024-07-31,1125.4,1137.72,1114.72,1124.41,33020184
2024-08-01,1123.15,1123.15,1085.66,1092.94,37299698
2024-08-02,1091.28,1091.28,1072.1,1086.53,25159746
2024-08-05,1056.63,1063.7,1033.39,1051.37,37144516
2024-08-06,1055.28,1073.19,1051.48,1062.57,29120954
2024-08-07,1064.73,1074.46,1038.49,1039.27,25489496
2024-08-08,1043.97,1066.83,1043.97,1066.41,26641968
2024-08-09,1073.94,1080.4,1064.3,1073.17,32903979
2024-08-12,1072.73,1084.83,1070.77,1072.52,22105458
2024-08-13,1081.55,1091.64,1077.92,1083.71,28648827
2024-08-14,1085.13,1087.7,1079.51,1083.65,27566083
2024-08-15,1094.1,1105.29,1093.15,1102.07,39674758
2024-08-16,1099.99,1117.43,1097.15,1112.06,26483684
2024-08-19,1109.95,1116.98,1104.54,1116.98,29795007
2024-08-20,1115.61,1121.98,1105.12,1119.15,31055908
2024-08-21,1123.66,1150.37,1123.66,1149.89,34879970
2024-08-22,1151.6,1157.57,1143.23,1144.77,150922114
2024-08-23,1148.41,1159.26,1146.79,1156.36,93976109
2024-08-26,1157.59,1168.86,1157.03,1160.49,48937453
2024-08-27,1159.68,1166.85,1155.85,1162.3,33473224
2024-08-28,1162.2,1164.21,1151.68,1156.09,28830859
2024-08-29,1161.06,1171.98,1158.12,1159.23,33846127
2024-08-30,1161.33,1168.35,1156.85,1167.5,30004809
2024-09-03,1165.45,1165.45,1125.31,1132.05,28087394
2024-09-04,1130.97,1147.89,1129.48,1140.78,18467085
2024-09-05,1139.96,1142.64,1132.16,1138.29,27859141
2024-09-06,1139.72,1150.64,1120.54,1127.6,45159787
2024-09-09,1125.69,1132.6,1115.32,1130.01,35394141
2024-09-10,1132.01,1137.47,1122.37,1131.67,21112183
2024-09-11,1130.24,1130.24,1107.34,1127.1,24665005
2024-09-12,1129.88,1140.07,1126.48,1135.26,23747826
2024-09-13,1139.53,1151.01,1137.17,1145.15,26588140
2024-09-16,1150.16,1156.34,1145.61,1151.31,26077906
2024-09-17,1153.37,1163.32,1135.93,1139.95,23937583
