Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,marketCap,industry,sector,exchange,Symbol
2020-06-01 00:00:00-04:00,10.393356929867869,11.06389608663354,10.26595477145182,10.574402809143066,49710700,0.0,0.0,4586658,5222490,23.2,17.0,20.207,20.66145,10670664704,Grocery Stores,Consumer Defensive,NYQ,ACI
2020-07-01 00:00:00-04:00,10.587812060016253,10.889554518474327,9.199796367423572,9.964210510253906,80494500,0.0,0.0,4586658,5222490,23.2,17.0,20.207,20.66145,10670664704,Grocery Stores,Consumer Defensive,NYQ,ACI
2020-08-01 00:00:00-04:00,10.00444494804265,10.54758134372137,9.233325121298389,9.246735572814941,36035200,0.0,0.0,4586658,5222490,23.2,17.0,20.207,20.66145,10670664704,Grocery Stores,Consumer Defensive,NYQ,ACI
2020-09-01 00:00:00-04:00,9.286967277526855,9.68929037492734,8.6566601323855,9.286967277526855,65469300,0.0,0.0,4586658,5222490,23.2,17.0,20.207,20.66145,10670664704,Grocery Stores,Consumer Defensive,NYQ,ACI
2020-10-01 00:00:00-04:00,9.28696648461728,10.547579388318534,9.072393544847705,9.850218772888184,79518900,0.1,0.0,4586658,5222490,23.2,17.0,20.207,20.66145,10670664704,Grocery Stores,Consumer Defensive,NYQ,ACI
2020-11-01 00:00:00-04:00,9.991952236355644,10.896628440392533,9.384333140797072,10.822364807128906,46550800,0.0,0.0,4586658,5222490,23.2,17.0,20.207,20.66145,10670664704,Grocery Stores,Consumer Defensive,NYQ,ACI
2020-12-01 00:00:00-05:00,10.802111710523931,12.003847101896062,9.924440005272656,11.868820190429688,51125200,0.0,0.0,4586658,5222490,23.2,17.0,20.207,20.66145,10670664704,Grocery Stores,Consumer Defensive,NYQ,ACI
2021-01-01 00:00:00-05:00,11.88232223312943,13.921220972082168,10.903380418919577,11.727042198181152,67686100,0.1,0.0,4586658,5222490,23.2,17.0,20.207,20.66145,10670664704,Grocery Stores,Consumer Defensive,NYQ,ACI
2021-02-01 00:00:00-05:00,11.937029548193708,12.072832450766546,10.84382058586474,10.979622840881348,39572200,0.0,0.0,4586658,5222490,23.2,17.0,20.207,20.66145,10670664704,Grocery Stores,Consumer Defensive,NYQ,ACI
2021-03-01 00:00:00-05:00,11.033945380215503,13.614190551082375,10.97962447014818,12.948759078979492,48130500,0.0,0.0,4586658,5222490,23.2,17.0,20.207,20.66145,10670664704,Grocery Stores,Consumer Defensive,NYQ,ACI
