Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,marketCap,industry,sector,exchange,Symbol
2003-07-01 00:00:00-04:00,14.459964657952215,15.73584389247741,14.176435939168838,14.845563888549805,23589900,0.0,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2003-08-01 00:00:00-04:00,14.800195515613549,14.817206542139768,13.218105154118303,13.921256065368652,6251900,0.0,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2003-09-01 00:00:00-04:00,13.892903658027,14.60172527323246,12.758789073698267,14.148079872131348,4027900,0.07,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2003-10-01 00:00:00-04:00,14.159855217460514,14.955991450656919,13.363718984264109,14.245155334472656,1711900,0.0,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2003-11-01 00:00:00-05:00,14.35889803547762,16.49140764470697,14.33046500788142,16.235506057739258,2700100,0.0,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2003-12-01 00:00:00-05:00,16.292365092698546,16.73024044161537,15.354061548341027,16.65062713623047,2162100,0.07,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2004-01-01 00:00:00-05:00,16.702605039071663,18.783305908225696,16.485984695633732,18.2132511138916,2256600,0.0,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2004-02-01 00:00:00-05:00,18.213245358172163,18.241747653964325,16.70259976074393,17.392366409301758,3099300,0.0,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2004-03-01 00:00:00-05:00,17.358161821788748,17.77430139047448,15.819014071779566,16.845111846923828,1239000,0.125,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2004-04-01 00:00:00-05:00,16.88940459435139,17.71956220612775,15.601229667663574,15.601229667663574,14224800,0.0,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2004-05-01 00:00:00-04:00,15.606956343912328,16.173753228673693,15.217641047227872,16.001996994018555,3333700,0.0,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2004-06-01 00:00:00-04:00,16.09932563056087,16.723373858268005,15.784437748030282,16.030622482299805,2994400,0.125,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2004-07-01 00:00:00-04:00,16.10128911530345,16.814346073077868,14.680925791770534,14.77868366241455,6070000,0.0,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2004-08-01 00:00:00-04:00,14.721185380398666,14.841944575952182,13.381327556098809,13.72635555267334,10685600,0.0,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2004-09-01 00:00:00-04:00,13.772357148792603,15.01445687289491,13.732102992825975,14.951201438903809,8178900,0.125,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2004-10-01 00:00:00-04:00,14.983630057618836,15.087643090834037,12.886036826872008,14.480900764465332,10993900,0.0,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2004-11-01 00:00:00-05:00,14.515570848440744,15.313002174860545,14.00128436555226,15.058748245239258,8635200,0.0,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2004-12-01 00:00:00-05:00,15.01830074535819,15.908189052445373,14.608028337761297,15.809954643249512,7997000,0.125,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2005-01-01 00:00:00-05:00,15.940592909095537,16.59656113976651,15.603901613416193,15.882543563842773,6692700,0.0,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2005-02-01 00:00:00-05:00,15.824494052076767,17.020328572340222,15.59809849191582,16.248260498046875,10571300,0.0,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2005-03-01 00:00:00-05:00,16.28888072814051,16.776502344588906,15.214952141742982,15.696769714355469,12993000,0.15,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2005-04-01 00:00:00-05:00,15.877705727157283,16.432257265654265,14.94372284084319,15.527462005615234,8717900,0.0,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2005-05-01 00:00:00-04:00,15.585835917091536,16.140387447487566,14.727738644839592,16.058664321899414,16153300,0.0,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2005-06-01 00:00:00-04:00,16.000289869714916,16.589866539563513,15.509948899016957,16.519817352294922,7780300,0.15,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2005-07-01 00:00:00-04:00,16.69682493074889,16.902233123779297,16.109941820626126,16.902233123779297,7325400,0.0,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2005-08-01 00:00:00-04:00,16.949176785970092,18.193368962380738,16.291868598703903,16.57944107055664,16449700,0.0,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2005-09-01 00:00:00-04:00,16.6381410781282,17.624105159704836,14.959654552616021,16.73204231262207,24238300,0.15,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2005-10-01 00:00:00-04:00,16.785519451975787,16.891718626915278,14.868017281290962,15.298717498779297,14549700,0.0,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2005-11-01 00:00:00-05:00,15.298708036421383,18.555509978972164,15.139407684535076,17.865209579467773,18819300,0.0,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2005-12-01 00:00:00-05:00,17.78851611870882,18.744317492030028,17.44041570885343,18.455217361450195,10273400,0.15,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
2006-01-01 00:00:00-05:00,18.491702731835577,19.09643212132637,17.19923986205771,17.726896286010742,13895300,0.0,0.0,612493,528710,107.19,74.68,97.4358,95.3497,7616493056,Insurance - Specialty,Financial Services,NYQ,AXS
