Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,marketCap,industry,sector,exchange,Symbol
2020-09-01 00:00:00-04:00,27.482084863287138,34.696130642245244,26.500581832455456,30.819194793701172,10720000,0.0,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2020-10-01 00:00:00-04:00,30.89771965660541,40.064959507423126,28.610817322125026,34.411502838134766,6283000,0.0,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2020-11-01 00:00:00-04:00,34.76484179536103,37.77806008551023,30.5630283034005,34.617618560791016,11084700,0.0,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2020-12-01 00:00:00-05:00,34.931698696762226,40.408484552346295,32.399418668296306,39.76069259643555,6722400,0.03,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2021-01-01 00:00:00-05:00,41.01463099965261,53.65597885486691,38.17553498634358,38.59796142578125,15064500,0.0,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2021-02-01 00:00:00-05:00,39.197220269996045,49.10949955271141,38.804264196848,43.57866287231445,9344500,0.0,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2021-03-01 00:00:00-05:00,44.394050608000335,47.635929495770526,37.94959669220745,46.1034049987793,14902400,0.03,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2021-04-01 00:00:00-04:00,46.263424975225334,51.3065876639394,45.49662534847884,50.33334732055664,15728300,0.0,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2021-05-01 00:00:00-04:00,49.03076650408537,57.19518817384841,40.954821555462566,56.389068603515625,38654500,0.0,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2021-06-01 00:00:00-04:00,56.88062152769253,65.86591085644726,56.19246947021171,63.68348693847656,61275400,0.03,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2021-07-01 00:00:00-04:00,63.242361064055984,65.63239138119283,56.2493059213676,59.80976486206055,19967700,0.0,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2021-08-01 00:00:00-04:00,59.97696946860845,67.32114752113534,58.99341797764678,63.42923355102539,22700600,0.03,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2021-09-01 00:00:00-04:00,63.734192496406536,70.7698509373237,58.93223633690177,59.67024230957031,47552800,0.0,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2021-10-01 00:00:00-04:00,59.81783562202105,60.654240758362434,54.90763500249953,58.204063415527344,14082600,0.0,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2021-11-01 00:00:00-04:00,58.3516689999851,61.37257301899362,47.01589729274041,47.22254180908203,20360200,0.0,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2021-12-01 00:00:00-05:00,48.363988357228735,50.02696030775553,44.94947984395246,47.55710220336914,19926100,0.03,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2022-01-01 00:00:00-05:00,47.60551405440258,48.1568926291291,35.49490795247197,39.55146789550781,22503900,0.0,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2022-02-01 00:00:00-05:00,39.54161607312585,41.1169777668924,33.97861328433786,37.79887008666992,14454800,0.0,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2022-03-01 00:00:00-05:00,39.10840044684215,44.99632113119028,33.91954642057797,43.499725341796875,23410600,0.03,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2022-04-01 00:00:00-04:00,43.4847830910065,44.775627376218985,40.331569048416846,41.77022171020508,21456000,0.0,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2022-05-01 00:00:00-04:00,41.59286037924812,42.30233469564558,25.93518351653747,33.877342224121094,32325400,0.0,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2022-06-01 00:00:00-04:00,34.10397367630862,35.96633970624539,29.891476220843465,32.81312561035156,21769900,0.03,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2022-07-01 00:00:00-04:00,33.09708170439863,39.280595081796065,31.647357374354424,39.05376434326172,11529200,0.0,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2022-08-01 00:00:00-04:00,38.38313914140335,41.174104176403546,35.80914441171833,36.26279830932617,15505200,0.0,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2022-09-01 00:00:00-04:00,35.80914293086912,38.55079453842621,30.089146728056303,30.16804313659668,19865700,0.03,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2022-10-01 00:00:00-04:00,30.361749018147236,35.642482685914196,30.16433767475901,34.82322692871094,15603200,0.0,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2022-11-01 00:00:00-04:00,35.16870454069439,39.48212572147953,31.338937291424376,39.09717559814453,21037900,0.03,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2022-12-01 00:00:00-05:00,39.009462188000214,40.4516950737817,35.097647126119014,36.51024627685547,16732700,0.0,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2023-01-01 00:00:00-05:00,37.567225403682365,38.82177168269936,33.33930838999942,38.57481384277344,13750400,0.0,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2023-02-01 00:00:00-05:00,38.52542968143789,41.82478714334857,37.91297518777396,39.9676628112793,13264600,0.05,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2023-03-01 00:00:00-05:00,40.05604991529846,42.528645589082316,36.802113103107324,42.51875686645508,19319800,0.0,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2023-04-01 00:00:00-04:00,42.15280759055079,43.131957081695276,40.44177193444539,42.093467712402344,10876600,0.0,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2023-05-01 00:00:00-04:00,41.865994596528786,48.72002679766815,40.980804832583736,48.24528884887695,25889300,0.0,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2023-06-01 00:00:00-04:00,47.74087676109797,53.92236582111872,47.74087676109797,53.63554382324219,22426800,0.05,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
2023-07-01 00:00:00-04:00,53.4612929656998,54.81762471125882,50.501119711987805,53.342491149902344,13445900,0.0,0.0,1431728,1819470,59.25,36.51,55.3761,48.258926,16335347712,Software - Application,Technology,NMS,BSY
