Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,marketCap,industry,sector,exchange,Symbol
2000-01-01 00:00:00-05:00,4.981715449164896,5.25543607823989,4.598506568459904,4.653250694274902,1195400,0.0,0.0,592445,829850,87.83,57.67,83.4062,75.1493,6932725760,Resorts & Casinos,Consumer Cyclical,NYQ,BYD
2000-02-01 00:00:00-05:00,4.6532499646566,5.091202902506633,4.270041144037821,4.543761730194092,2745600,0.0,0.0,592445,829850,87.83,57.67,83.4062,75.1493,6932725760,Resorts & Casinos,Consumer Cyclical,NYQ,BYD
2000-03-01 00:00:00-05:00,4.43427493300619,4.817483877833886,3.8320894482769545,4.32478666305542,3900500,0.0,0.0,592445,829850,87.83,57.67,83.4062,75.1493,6932725760,Resorts & Casinos,Consumer Cyclical,NYQ,BYD
2000-04-01 00:00:00-05:00,4.4342756271362305,4.817484631950473,3.722601761052638,4.4342756271362305,3502700,0.0,0.0,592445,829850,87.83,57.67,83.4062,75.1493,6932725760,Resorts & Casinos,Consumer Cyclical,NYQ,BYD
2000-05-01 00:00:00-04:00,4.43427493300619,5.036460417735426,3.9415777182277245,4.32478666305542,2007200,0.0,0.0,592445,829850,87.83,57.67,83.4062,75.1493,6932725760,Resorts & Casinos,Consumer Cyclical,NYQ,BYD
2000-06-01 00:00:00-04:00,4.379531012641059,5.364925490485297,4.379531012641059,4.926972389221191,1886100,0.0,0.0,592445,829850,87.83,57.67,83.4062,75.1493,6932725760,Resorts & Casinos,Consumer Cyclical,NYQ,BYD
2000-07-01 00:00:00-04:00,4.981714252015235,5.200690702653267,3.7773437735060567,3.8868319988250732,1999800,0.0,0.0,592445,829850,87.83,57.67,83.4062,75.1493,6932725760,Resorts & Casinos,Consumer Cyclical,NYQ,BYD
2000-08-01 00:00:00-04:00,3.9415781175768054,4.379531241752006,3.777345696011105,4.0510663986206055,1090800,0.0,0.0,592445,829850,87.83,57.67,83.4062,75.1493,6932725760,Resorts & Casinos,Consumer Cyclical,NYQ,BYD
2000-09-01 00:00:00-04:00,4.160554258129265,4.489019067981575,3.7226011783261845,4.32478666305542,1525800,0.0,0.0,592445,829850,87.83,57.67,83.4062,75.1493,6932725760,Resorts & Casinos,Consumer Cyclical,NYQ,BYD
2000-10-01 00:00:00-04:00,4.270040671030681,4.270040671030681,3.3941348923577204,3.4488790035247803,1192100,0.0,0.0,592445,829850,87.83,57.67,83.4062,75.1493,6932725760,Resorts & Casinos,Consumer Cyclical,NYQ,BYD
