Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,marketCap,industry,sector,exchange,Symbol
2021-06-01 00:00:00-04:00,41.16999816894531,65.41999816894531,41.16999816894531,58.20000076293945,32938000,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2021-07-01 00:00:00-04:00,57.650001525878906,68.70999908447266,44.79999923706055,61.900001525878906,21186900,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2021-08-01 00:00:00-04:00,62.45000076293945,95.97000122070312,52.15999984741211,92.0,49123800,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2021-09-01 00:00:00-04:00,90.75,107.79000091552734,79.5,80.69999694824219,48310200,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2021-10-01 00:00:00-04:00,81.0,91.25,63.16999816894531,69.4800033569336,47911100,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2021-11-01 00:00:00-04:00,69.0,76.87999725341797,54.290000915527344,67.6500015258789,73790000,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2021-12-01 00:00:00-05:00,68.01000213623047,68.94000244140625,46.349998474121094,50.130001068115234,57404200,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2022-01-01 00:00:00-05:00,50.65999984741211,52.59000015258789,39.91999816894531,45.56999969482422,35913300,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2022-02-01 00:00:00-05:00,46.0,64.94999694824219,44.56999969482422,61.349998474121094,54059500,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2022-03-01 00:00:00-05:00,61.11000061035156,61.970001220703125,40.04999923706055,52.09000015258789,56803900,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2022-04-01 00:00:00-04:00,52.47999954223633,54.689998626708984,38.529998779296875,39.869998931884766,24126200,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2022-05-01 00:00:00-04:00,39.650001525878906,42.119998931884766,27.059999465942383,34.9900016784668,76523700,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2022-06-01 00:00:00-04:00,35.099998474121094,42.119998931884766,31.280000686645508,34.81999969482422,45674500,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2022-07-01 00:00:00-04:00,34.83000183105469,47.459999084472656,34.34000015258789,42.31999969482422,30644800,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2022-08-01 00:00:00-04:00,42.0,44.7599983215332,31.90999984741211,33.189998626708984,49890800,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2022-09-01 00:00:00-04:00,32.189998626708984,34.63999938964844,29.40999984741211,30.219999313354492,33323500,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2022-10-01 00:00:00-04:00,30.399999618530273,32.2760009765625,23.729999542236328,26.469999313354492,38401400,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2022-11-01 00:00:00-04:00,27.1200008392334,35.43000030517578,22.90999984741211,33.9900016784668,65437700,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2022-12-01 00:00:00-05:00,34.0,37.9900016784668,32.38800048828125,33.560001373291016,27770100,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2023-01-01 00:00:00-05:00,34.11000061035156,35.70000076293945,28.174999237060547,35.27000045776367,24201400,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2023-02-01 00:00:00-05:00,35.40999984741211,40.119998931884766,31.3799991607666,33.630001068115234,48087600,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2023-03-01 00:00:00-05:00,33.77000045776367,34.939998626708984,28.139999389648438,32.380001068115234,33467500,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2023-04-01 00:00:00-04:00,31.989999771118164,37.099998474121094,30.25,36.75,22264300,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2023-05-01 00:00:00-04:00,34.880001068115234,36.720001220703125,30.149999618530273,30.670000076293945,36370600,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2023-06-01 00:00:00-04:00,30.600000381469727,35.75,30.479999542236328,34.02000045776367,59240500,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2023-07-01 00:00:00-04:00,34.0099983215332,36.290000915527344,31.309999465942383,35.72999954223633,24202600,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2023-08-01 00:00:00-04:00,35.279998779296875,35.31999969482422,21.850000381469727,23.84000015258789,64215700,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2023-09-01 00:00:00-04:00,24.1200008392334,24.68000030517578,19.709999084472656,21.219999313354492,53259700,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2023-10-01 00:00:00-04:00,21.110000610351562,22.950000762939453,20.325000762939453,20.43000030517578,33430500,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2023-11-01 00:00:00-04:00,20.399999618530273,25.77400016784668,19.889999389648438,23.25,47453400,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2023-12-01 00:00:00-05:00,23.309999465942383,28.530000686645508,23.139999389648438,28.040000915527344,32201000,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2024-01-01 00:00:00-05:00,28.239999771118164,31.860000610351562,26.8700008392334,26.950000762939453,42061800,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2024-02-01 00:00:00-05:00,27.049999237060547,31.079999923706055,24.600000381469727,28.229999542236328,40251500,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2024-03-01 00:00:00-05:00,27.8799991607666,29.139999389648438,26.65999984741211,26.90999984741211,24952200,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2024-04-01 00:00:00-04:00,26.969999313354492,26.969999313354492,23.260000228881836,24.290000915527344,35785200,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2024-05-01 00:00:00-04:00,24.329999923706055,29.84000015258789,22.959999084472656,27.729999542236328,46136800,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2024-06-01 00:00:00-04:00,27.989999771118164,30.5,26.8700008392334,27.969999313354492,23789800,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2024-07-01 00:00:00-04:00,28.0,29.584999084472656,26.299999237060547,28.0,28473500,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2024-08-01 00:00:00-04:00,28.020000457763672,37.54999923706055,25.003999710083008,36.779998779296875,51304900,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2024-09-01 00:00:00-04:00,36.27000045776367,43.9900016784668,35.31999969482422,43.56999969482422,31333900,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2024-10-01 00:00:00-04:00,43.439998626708984,44.880001068115234,40.869998931884766,41.7400016784668,27854500,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2024-11-01 00:00:00-04:00,42.0,61.75,41.34000015258789,53.0,54941500,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2024-12-01 00:00:00-05:00,53.099998474121094,59.13999938964844,50.959999084472656,53.38999938964844,42655600,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2025-01-01 00:00:00-05:00,53.900001525878906,59.97999954223633,49.0099983215332,59.099998474121094,27242400,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2025-02-01 00:00:00-05:00,57.47999954223633,85.20999908447266,56.0099983215332,70.5,67117300,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2025-03-01 00:00:00-05:00,70.88999938964844,71.68000030517578,56.31999969482422,58.029998779296875,52369100,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2025-04-01 00:00:00-04:00,58.029998779296875,58.880001068115234,48.18000030517578,56.880001068115234,45259400,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2025-05-01 00:00:00-04:00,57.709999084472656,62.09700012207031,48.16999816894531,52.09000015258789,71069400,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2025-06-01 00:00:00-04:00,52.88999938964844,62.060001373291016,51.43000030517578,61.34000015258789,42759900,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2025-07-01 00:00:00-04:00,60.959999084472656,65.52999877929688,57.709999084472656,58.75,33783900,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
2025-08-01 00:00:00-04:00,57.09000015258789,69.80000305175781,56.33000183105469,67.94000244140625,37955300,0.0,0.0,787369,1114310,85.21,36.12,62.5012,59.2272,12987312128,Health Information Services,Healthcare,NYQ,DOCS
