Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,marketCap,industry,sector,exchange,Symbol
2017-03-01 00:00:00-05:00,15.218717138826682,16.76190309428471,15.124931808952034,15.917840003967285,12074900,0.0,0.0,318368,370600,203.72,124.1,151.979,155.54483,8191136256,Asset Management,Financial Services,NMS,HLNE
2017-04-01 00:00:00-04:00,16.003096812976402,16.42086525113842,14.766842043541283,15.960466384887695,3097400,0.0,0.0,318368,370600,203.72,124.1,151.979,155.54483,8191136256,Asset Management,Financial Services,NMS,HLNE
2017-05-01 00:00:00-04:00,15.97752308950267,18.15162675335906,15.602383346804604,17.247880935668945,2498300,0.0,0.0,318368,370600,203.72,124.1,151.979,155.54483,8191136256,Asset Management,Financial Services,NMS,HLNE
2017-06-01 00:00:00-04:00,17.307552753770715,19.1320939721416,17.077355003505843,18.748428344726562,5626800,0.175,0.0,318368,370600,203.72,124.1,151.979,155.54483,8191136256,Asset Management,Financial Services,NMS,HLNE
2017-07-01 00:00:00-04:00,19.021262132032167,20.628572457341118,18.436787289513283,19.30490493774414,2732700,0.0,0.0,318368,370600,203.72,124.1,151.979,155.54483,8191136256,Asset Management,Financial Services,NMS,HLNE
2017-08-01 00:00:00-04:00,19.4166514308068,20.59419864379063,18.35943707886627,20.147247314453125,4653400,0.0,0.0,318368,370600,203.72,124.1,151.979,155.54483,8191136256,Asset Management,Financial Services,NMS,HLNE
2017-09-01 00:00:00-04:00,20.087075497859978,23.138384874471864,19.347884373855543,23.078218460083008,3082000,0.175,0.0,318368,370600,203.72,124.1,151.979,155.54483,8191136256,Asset Management,Financial Services,NMS,HLNE
2017-10-01 00:00:00-04:00,23.419568896775523,24.70140876634063,22.085761340519877,23.809316635131836,2692300,0.0,0.0,318368,370600,203.72,124.1,151.979,155.54483,8191136256,Asset Management,Financial Services,NMS,HLNE
2017-11-01 00:00:00-04:00,24.04315685513187,30.40905060873123,23.03847176675636,29.8547420501709,3222400,0.0,0.0,318368,370600,203.72,124.1,151.979,155.54483,8191136256,Asset Management,Financial Services,NMS,HLNE
2017-12-01 00:00:00-05:00,29.915371255137263,31.18854777450976,27.334368147372285,30.651561737060547,2707800,0.175,0.0,318368,370600,203.72,124.1,151.979,155.54483,8191136256,Asset Management,Financial Services,NMS,HLNE
2018-01-01 00:00:00-05:00,30.88203411335422,35.20046816064389,30.107154198888782,32.45791244506836,1835300,0.0,0.0,318368,370600,203.72,124.1,151.979,155.54483,8191136256,Asset Management,Financial Services,NMS,HLNE
2018-02-01 00:00:00-05:00,32.29248102797504,33.13701448410345,26.572297969843948,30.420578002929688,2365900,0.0,0.0,318368,370600,203.72,124.1,151.979,155.54483,8191136256,Asset Management,Financial Services,NMS,HLNE
2018-03-01 00:00:00-05:00,31.03875775665415,33.755192171881106,29.46287579984668,32.41438674926758,7587100,0.175,0.0,318368,370600,203.72,124.1,151.979,155.54483,8191136256,Asset Management,Financial Services,NMS,HLNE
