Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,marketCap,industry,sector,exchange,Symbol
2000-01-01 00:00:00-05:00,17.240434862903715,31.578439614207475,15.324830989247744,28.15357208251953,11179400,0.0,0.0,1350537,982680,252.64,192.55,227.012,220.1024,21996589056,REIT - Specialty,Real Estate,NMS,SBAC
2000-02-01 00:00:00-05:00,29.69186268029389,38.42817809257978,25.77358168142813,37.61549758911133,10646500,0.0,0.0,1350537,982680,252.64,192.55,227.012,220.1024,21996589056,REIT - Specialty,Real Estate,NMS,SBAC
2000-03-01 00:00:00-05:00,38.07988903739236,50.85058353163979,33.66819457574324,40.8662223815918,8510800,0.0,0.0,1350537,982680,252.64,192.55,227.012,220.1024,21996589056,REIT - Specialty,Real Estate,NMS,SBAC
2000-04-01 00:00:00-05:00,40.982311894343454,45.51010272686298,29.256494610126204,37.731590270996094,6440100,0.0,0.0,1350537,982680,252.64,192.55,227.012,220.1024,21996589056,REIT - Specialty,Real Estate,NMS,SBAC
2000-05-01 00:00:00-04:00,37.8476957538784,45.277918233167405,33.55209838303944,34.59697341918945,7190400,0.0,0.0,1350537,982680,252.64,192.55,227.012,220.1024,21996589056,REIT - Specialty,Real Estate,NMS,SBAC
2000-06-01 00:00:00-04:00,34.13257783414655,52.940324803982406,33.90038342711154,48.23838806152344,8481700,0.0,0.0,1350537,982680,252.64,192.55,227.012,220.1024,21996589056,REIT - Specialty,Real Estate,NMS,SBAC
2000-07-01 00:00:00-04:00,47.04839215318252,51.895450444102615,38.892563531933725,41.91109085083008,8249500,0.0,0.0,1350537,982680,252.64,192.55,227.012,220.1024,21996589056,REIT - Specialty,Real Estate,NMS,SBAC
2000-08-01 00:00:00-04:00,41.7369517371768,43.0720698038737,39.937444777715776,41.44670867919922,6515800,0.0,0.0,1350537,982680,252.64,192.55,227.012,220.1024,21996589056,REIT - Specialty,Real Estate,NMS,SBAC
2000-09-01 00:00:00-04:00,41.67888718674684,41.91108154433317,34.36476492277734,38.95060348510742,6825800,0.0,0.0,1350537,982680,252.64,192.55,227.012,220.1024,21996589056,REIT - Specialty,Real Estate,NMS,SBAC
2000-10-01 00:00:00-04:00,39.008662578173706,46.55498123168945,28.67601088335984,46.55498123168945,9648600,0.0,0.0,1350537,982680,252.64,192.55,227.012,220.1024,21996589056,REIT - Specialty,Real Estate,NMS,SBAC
2000-11-01 00:00:00-05:00,44.87157794133129,51.314973997589725,32.27502889441163,34.59697341918945,7659200,0.0,0.0,1350537,982680,252.64,192.55,227.012,220.1024,21996589056,REIT - Specialty,Real Estate,NMS,SBAC
2000-12-01 00:00:00-05:00,34.82915799911708,42.9559615322444,32.04282535918772,38.1379280090332,5515300,0.0,0.0,1350537,982680,252.64,192.55,227.012,220.1024,21996589056,REIT - Specialty,Real Estate,NMS,SBAC
2001-01-01 00:00:00-05:00,37.92023817522772,43.768633117675776,30.649652899380385,42.08522415161133,9423000,0.0,0.0,1350537,982680,252.64,192.55,227.012,220.1024,21996589056,REIT - Specialty,Real Estate,NMS,SBAC
2001-02-01 00:00:00-05:00,42.143285274505615,43.18816011602229,28.676009539401893,30.649662017822266,5949000,0.0,0.0,1350537,982680,252.64,192.55,227.012,220.1024,21996589056,REIT - Specialty,Real Estate,NMS,SBAC
2001-03-01 00:00:00-05:00,29.953078952231422,32.97160628850281,14.338004847289074,14.686296463012695,16239900,0.0,0.0,1350537,982680,252.64,192.55,227.012,220.1024,21996589056,REIT - Specialty,Real Estate,NMS,SBAC
2001-04-01 00:00:00-05:00,15.092637262240238,31.86636339655666,11.78386678551834,31.66203117370605,13606900,0.0,0.0,1350537,982680,252.64,192.55,227.012,220.1024,21996589056,REIT - Specialty,Real Estate,NMS,SBAC
2001-05-01 00:00:00-04:00,31.55986042160167,31.6527403015153,21.408321613878982,21.50119972229004,11327300,0.0,0.0,1350537,982680,252.64,192.55,227.012,220.1024,21996589056,REIT - Specialty,Real Estate,NMS,SBAC
2001-06-01 00:00:00-04:00,21.491916625982743,23.089415494045664,15.501301185255713,22.98724937438965,8970900,0.0,0.0,1350537,982680,252.64,192.55,227.012,220.1024,21996589056,REIT - Specialty,Real Estate,NMS,SBAC
2001-07-01 00:00:00-04:00,21.399034646101928,22.736472982856416,15.51058510050804,18.30620384216309,8653600,0.0,0.0,1350537,982680,252.64,192.55,227.012,220.1024,21996589056,REIT - Specialty,Real Estate,NMS,SBAC
2001-08-01 00:00:00-04:00,18.399085944104765,18.42694991315342,11.312512794330392,12.371318817138672,11131200,0.0,0.0,1350537,982680,252.64,192.55,227.012,220.1024,21996589056,REIT - Specialty,Real Estate,NMS,SBAC
2001-09-01 00:00:00-04:00,12.408468468834476,13.235080855149375,9.733588863398335,12.399181365966797,11248800,0.0,0.0,1350537,982680,252.64,192.55,227.012,220.1024,21996589056,REIT - Specialty,Real Estate,NMS,SBAC
