Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,marketCap,industry,sector,exchange,Symbol
2000-01-01 00:00:00-05:00,78.21732892488178,78.83321340460526,69.15502872323631,70.21083068847656,126780,0.0,0.0,435534,644280,128.66,78.23,116.8382,102.3352,8470828032,Banks - Regional,Financial Services,NMS,BPOP
2000-01-08 00:00:00-05:00,70.03485525415299,70.73872314615453,65.45971395614299,66.16358184814453,148380,0.0,0.0,435534,644280,128.66,78.23,116.8382,102.3352,8470828032,Banks - Regional,Financial Services,NMS,BPOP
2000-01-15 00:00:00-05:00,66.86746281098554,70.0348689441375,65.28375974440958,65.81166076660156,113280,0.0,0.0,435534,644280,128.66,78.23,116.8382,102.3352,8470828032,Banks - Regional,Financial Services,NMS,BPOP
2000-01-22 00:00:00-05:00,66.86747390786499,69.15504538366037,62.11636391967458,68.0992431640625,150660,0.0,0.0,435534,644280,128.66,78.23,116.8382,102.3352,8470828032,Banks - Regional,Financial Services,NMS,BPOP
2000-01-29 00:00:00-05:00,67.57132935755462,73.20227347068416,67.57132935755462,72.49840545654297,151940,0.0,0.0,435534,644280,128.66,78.23,116.8382,102.3352,8470828032,Banks - Regional,Financial Services,NMS,BPOP
2000-02-05 00:00:00-05:00,70.73872648409713,73.02629724104554,64.7558491197705,64.93181610107422,75920,0.0,0.0,435534,644280,128.66,78.23,116.8382,102.3352,8470828032,Banks - Regional,Financial Services,NMS,BPOP
2000-02-12 00:00:00-05:00,66.16356582641602,67.57130126953126,61.2364917755127,63.34809494018555,120840,0.0,0.0,435534,644280,128.66,78.23,116.8382,102.3352,8470828032,Banks - Regional,Financial Services,NMS,BPOP
2000-02-19 00:00:00-05:00,63.34812436785017,63.52409137998308,55.781542846134734,59.124916076660156,155300,0.0,0.0,435534,644280,128.66,78.23,116.8382,102.3352,8470828032,Banks - Regional,Financial Services,NMS,BPOP
2000-02-26 00:00:00-05:00,58.4210319519043,64.93180960919484,57.01329624221986,58.4210319519043,96920,0.0,0.0,435534,644280,128.66,78.23,116.8382,102.3352,8470828032,Banks - Regional,Financial Services,NMS,BPOP
2000-03-04 00:00:00-05:00,59.124893895016754,59.124893895016754,53.317984673184746,54.15382766723633,118920,0.8,0.0,435534,644280,128.66,78.23,116.8382,102.3352,8470828032,Banks - Regional,Financial Services,NMS,BPOP
2000-03-11 00:00:00-05:00,53.917369146766895,58.883442620811216,51.43433240974474,56.40040588378906,155060,0.0,0.0,435534,644280,128.66,78.23,116.8382,102.3352,8470828032,Banks - Regional,Financial Services,NMS,BPOP
2000-03-18 00:00:00-05:00,57.996647445849206,63.49480056762696,56.400409442752434,63.49480056762695,76280,0.0,0.0,435534,644280,128.66,78.23,116.8382,102.3352,8470828032,Banks - Regional,Financial Services,NMS,BPOP
2000-03-25 00:00:00-05:00,62.78538201560437,64.20426070522255,61.18914348978392,62.96274185180664,111260,0.0,0.0,435534,644280,128.66,78.23,116.8382,102.3352,8470828032,Banks - Regional,Financial Services,NMS,BPOP
