Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,marketCap,industry,sector,exchange,Symbol
2000-01-01 00:00:00-05:00,3.75,3.9375,3.5625,3.875,588600,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-01-08 00:00:00-05:00,3.875,4.5,3.625,4.125,228700,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-01-15 00:00:00-05:00,4.0625,4.875,3.875,4.875,227700,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-01-22 00:00:00-05:00,5.0,6.0,4.5,4.625,837200,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-01-29 00:00:00-05:00,4.4375,5.0,4.4375,4.6875,508100,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-02-05 00:00:00-05:00,4.59375,5.1875,4.5,4.53125,244400,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-02-12 00:00:00-05:00,5.0,5.0,4.375,4.71875,194200,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-02-19 00:00:00-05:00,4.75,4.75,4.4375,4.75,231600,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-02-26 00:00:00-05:00,4.5625,5.5,4.4375,4.4375,270400,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-03-04 00:00:00-05:00,4.5,4.875,4.5,4.75,177200,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-03-11 00:00:00-05:00,4.75,5.25,4.375,5.0,240200,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-03-18 00:00:00-05:00,4.8125,5.25,3.875,5.0,160400,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-03-25 00:00:00-05:00,4.875,5.4375,4.375,5.4375,218700,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-04-01 00:00:00-05:00,5.4375,5.5625,5.125,5.5625,369000,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-04-08 00:00:00-04:00,5.375,5.625,4.8125,5.0625,166400,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-04-15 00:00:00-04:00,4.875,5.5,4.65625,5.25,137500,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-04-22 00:00:00-04:00,4.65625,5.25,4.65625,5.25,177200,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-04-29 00:00:00-04:00,4.875,5.5,4.875,5.4375,390900,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-05-06 00:00:00-04:00,5.3125,5.75,5.3125,5.40625,42400,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-05-13 00:00:00-04:00,5.375,5.8125,5.25,5.5,79000,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-05-20 00:00:00-04:00,5.375,5.6875,5.125,5.375,194500,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-05-27 00:00:00-04:00,5.375,5.75,5.25,5.75,98300,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-06-03 00:00:00-04:00,5.625,5.75,4.875,5.6875,602800,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-06-10 00:00:00-04:00,5.5,5.75,5.125,5.65625,346400,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-06-17 00:00:00-04:00,5.5625,5.6875,5.3125,5.3125,417300,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-06-24 00:00:00-04:00,4.8125,6.0,4.5,5.5625,291400,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-07-01 00:00:00-04:00,5.3125,5.5625,5.1875,5.5,116500,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-07-08 00:00:00-04:00,5.4375,6.0,5.4375,6.0,1287000,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-07-15 00:00:00-04:00,6.0,6.3125,5.375,6.0625,128600,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-07-22 00:00:00-04:00,6.125,6.25,5.375,6.0,156500,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-07-29 00:00:00-04:00,6.0,6.1875,5.875,5.9375,121700,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-08-05 00:00:00-04:00,6.0,6.1875,5.875,6.1875,132900,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-08-12 00:00:00-04:00,6.234375,6.625,6.0625,6.4375,47500,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-08-19 00:00:00-04:00,6.4375,6.8125,6.125,6.3125,98800,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-08-26 00:00:00-04:00,6.4375,6.625,6.0,6.125,120600,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-09-02 00:00:00-04:00,6.125,6.3125,5.875,6.25,80200,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-09-09 00:00:00-04:00,6.1875,6.5,5.9375,6.40625,51900,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-09-16 00:00:00-04:00,6.4375,6.6875,6.375,6.5,121700,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-09-23 00:00:00-04:00,6.4375,6.5,6.25,6.3125,61500,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-09-30 00:00:00-04:00,6.25,6.25,5.9375,6.0625,163400,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-10-07 00:00:00-04:00,6.0625,6.1875,6.0,6.125,86500,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-10-14 00:00:00-04:00,6.171875,6.1875,5.875,5.96875,383200,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-10-21 00:00:00-04:00,5.96875,6.125,5.9375,5.9375,55300,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-10-28 00:00:00-04:00,6.0,6.25,5.6875,5.9375,157400,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-11-04 00:00:00-05:00,5.875,6.0,5.875,6.0,165900,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-11-11 00:00:00-05:00,6.0625,6.0625,5.96875,5.96875,93800,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-11-18 00:00:00-05:00,5.96875,6.0,5.9375,6.0,61000,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-11-25 00:00:00-05:00,5.9375,6.0625,5.0,5.0625,54000,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-12-02 00:00:00-05:00,4.5,5.0625,4.25,5.0625,93400,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-12-09 00:00:00-05:00,4.9375,5.1875,4.9375,5.0625,60700,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-12-16 00:00:00-05:00,5.0625,5.9375,4.5625,5.9375,204700,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-12-23 00:00:00-05:00,5.5,6.546875,5.5,6.0,188300,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2000-12-30 00:00:00-05:00,5.9375,6.75,5.75,6.75,55400,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-01-06 00:00:00-05:00,6.5625,6.875,6.25,6.828125,38900,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-01-13 00:00:00-05:00,6.625,6.6875,5.875,6.25,72900,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-01-20 00:00:00-05:00,6.3125,6.5,6.0,6.5,28600,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-01-27 00:00:00-05:00,6.5,6.5,6.0,6.0,62200,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-02-03 00:00:00-05:00,6.03125,6.0625,5.5,5.625,26000,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-02-10 00:00:00-05:00,5.5,5.734375,5.03125,5.375,47700,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-02-17 00:00:00-05:00,5.25,5.25,4.5,5.125,60400,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-02-24 00:00:00-05:00,5.125,5.5,5.09375,5.25,42200,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-03-03 00:00:00-05:00,5.28125,5.4375,5.21875,5.3125,61700,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-03-10 00:00:00-05:00,5.4375,5.5,5.0625,5.25,343700,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-03-17 00:00:00-05:00,5.1875,5.5,4.84375,5.125,104900,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-03-24 00:00:00-05:00,5.15625,5.9375,5.15625,5.3125,305100,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-03-31 00:00:00-05:00,5.21875,5.375,5.0,5.25,432000,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-04-07 00:00:00-04:00,5.239999771118164,5.699999809265137,5.139999866485596,5.320000171661377,53800,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-04-14 00:00:00-04:00,5.300000190734863,6.489999771118164,5.199999809265137,6.400000095367432,58400,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-04-21 00:00:00-04:00,6.300000190734863,6.869999885559082,6.300000190734863,6.869999885559082,33300,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-04-28 00:00:00-04:00,6.869999885559082,8.0,6.699999809265137,7.5,280800,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-05-05 00:00:00-04:00,7.900000095367432,8.0,6.650000095367432,7.0,96600,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-05-12 00:00:00-04:00,7.050000190734863,7.53000020980835,7.0,7.199999809265137,146300,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-05-19 00:00:00-04:00,7.260000228881836,7.349999904632568,7.0,7.289999961853027,52400,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-05-26 00:00:00-04:00,7.300000190734863,7.360000133514404,7.050000190734863,7.079999923706055,16500,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-06-02 00:00:00-04:00,7.099999904632568,7.699999809265137,7.099999904632568,7.099999904632568,46200,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-06-09 00:00:00-04:00,7.059999942779541,7.650000095367432,6.849999904632568,7.139999866485596,516800,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-06-16 00:00:00-04:00,7.25,7.449999809265137,6.940000057220459,7.059999942779541,223400,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-06-23 00:00:00-04:00,7.0,7.699999809265137,6.900000095367432,7.699999809265137,266800,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-06-30 00:00:00-04:00,7.5,7.71999979019165,7.25,7.570000171661377,34600,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-07-07 00:00:00-04:00,7.559999942779541,8.680000305175781,7.5,8.649999618530273,226700,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-07-14 00:00:00-04:00,8.850000381469727,10.079999923706055,8.199999809265137,9.65999984741211,224700,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-07-21 00:00:00-04:00,9.989999771118164,10.069999694824219,9.300000190734863,9.640000343322754,176000,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-07-28 00:00:00-04:00,9.619999885559082,9.720000267028809,8.859999656677246,9.09000015258789,62700,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-08-04 00:00:00-04:00,9.100000381469727,9.779999732971191,8.859999656677246,9.270000457763672,67300,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-08-11 00:00:00-04:00,9.4399995803833,10.079999923706055,9.260000228881836,9.989999771118164,145900,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-08-18 00:00:00-04:00,9.989999771118164,12.0,9.260000228881836,10.479999542236328,310000,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-08-25 00:00:00-04:00,10.479999542236328,10.569999694824219,9.0,9.449999809265137,77800,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-09-01 00:00:00-04:00,9.350000381469727,9.5600004196167,9.0,9.020000457763672,52200,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-09-08 00:00:00-04:00,9.220000267028809,9.25,8.850000381469727,9.010000228881836,25400,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-09-15 00:00:00-04:00,9.279999732971191,9.600000381469727,7.119999885559082,7.440000057220459,217700,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-09-22 00:00:00-04:00,7.590000152587891,9.239999771118164,7.480000019073486,8.739999771118164,39300,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-09-29 00:00:00-04:00,9.239999771118164,9.420000076293945,7.489999771118164,8.569999694824219,69900,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-10-06 00:00:00-04:00,8.25,8.880000114440918,8.25,8.300000190734863,55500,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-10-13 00:00:00-04:00,8.149999618530273,8.350000381469727,7.400000095367432,8.119999885559082,685900,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-10-20 00:00:00-04:00,7.860000133514404,8.199999809265137,7.860000133514404,7.980000019073486,242300,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-10-27 00:00:00-04:00,7.980000019073486,8.300000190734863,7.909999847412109,8.0,105500,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-11-03 00:00:00-05:00,8.0,8.600000381469727,7.949999809265137,8.149999618530273,95400,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-11-10 00:00:00-05:00,8.050000190734863,9.25,8.050000190734863,8.600000381469727,107200,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-11-17 00:00:00-05:00,8.510000228881836,9.170000076293945,8.3100004196167,8.970000267028809,39000,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-11-24 00:00:00-05:00,9.050000190734863,9.15999984741211,8.550000190734863,9.0,76100,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-12-01 00:00:00-05:00,8.720000267028809,9.680000305175781,8.489999771118164,9.25,82300,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-12-08 00:00:00-05:00,9.239999771118164,9.630000114440918,8.279999732971191,9.199999809265137,61700,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-12-15 00:00:00-05:00,8.649999618530273,10.199999809265137,8.649999618530273,9.949999809265137,197500,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-12-22 00:00:00-05:00,10.300000190734863,10.369999885559082,9.350000381469727,9.520000457763672,45700,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
2001-12-29 00:00:00-05:00,9.520000457763672,9.949999809265137,8.5,9.699999809265137,27100,0.0,0.0,79796,116580,560.0,409.22,501.49,492.08304,5872934400,Credit Services,Financial Services,NMS,CACC
