Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,marketCap,industry,sector,exchange,Symbol
2024-01-01 00:00:00-05:00,86.87000274658203,86.87000274658203,80.4800033569336,81.33999633789062,7347300,0.0,0.0,2862073,3121380,97.43,68.26,86.718,78.8565,37387112448,Real Estate Services,Real Estate,NMS,CSGP
2024-01-08 00:00:00-05:00,82.30000305175781,84.26000213623047,81.0,83.4000015258789,7669100,0.0,0.0,2862073,3121380,97.43,68.26,86.718,78.8565,37387112448,Real Estate Services,Real Estate,NMS,CSGP
2024-01-15 00:00:00-05:00,82.4800033569336,83.0,80.16999816894531,82.33000183105469,8360100,0.0,0.0,2862073,3121380,97.43,68.26,86.718,78.8565,37387112448,Real Estate Services,Real Estate,NMS,CSGP
2024-01-22 00:00:00-05:00,82.9000015258789,85.68000030517578,82.62999725341797,85.08999633789062,6957300,0.0,0.0,2862073,3121380,97.43,68.26,86.718,78.8565,37387112448,Real Estate Services,Real Estate,NMS,CSGP
2024-01-29 00:00:00-05:00,84.72000122070312,86.30000305175781,82.63999938964844,83.94000244140625,8409200,0.0,0.0,2862073,3121380,97.43,68.26,86.718,78.8565,37387112448,Real Estate Services,Real Estate,NMS,CSGP
2024-02-05 00:00:00-05:00,83.25,85.7300033569336,80.18000030517578,83.12999725341797,11712500,0.0,0.0,2862073,3121380,97.43,68.26,86.718,78.8565,37387112448,Real Estate Services,Real Estate,NMS,CSGP
2024-02-12 00:00:00-05:00,83.12999725341797,84.27999877929688,80.0199966430664,81.4000015258789,10094000,0.0,0.0,2862073,3121380,97.43,68.26,86.718,78.8565,37387112448,Real Estate Services,Real Estate,NMS,CSGP
2024-02-19 00:00:00-05:00,81.05999755859375,86.75,79.81999969482422,84.79000091552734,16282300,0.0,0.0,2862073,3121380,97.43,68.26,86.718,78.8565,37387112448,Real Estate Services,Real Estate,NMS,CSGP
2024-02-26 00:00:00-05:00,84.4800033569336,88.47000122070312,83.48999786376953,88.2699966430664,9915500,0.0,0.0,2862073,3121380,97.43,68.26,86.718,78.8565,37387112448,Real Estate Services,Real Estate,NMS,CSGP
2024-03-04 00:00:00-05:00,88.37000274658203,89.37000274658203,84.93000030517578,86.11000061035156,10382600,0.0,0.0,2862073,3121380,97.43,68.26,86.718,78.8565,37387112448,Real Estate Services,Real Estate,NMS,CSGP
2024-03-11 00:00:00-04:00,86.33999633789062,95.83000183105467,85.8499984741211,95.18000030517578,16576700,0.0,0.0,2862073,3121380,97.43,68.26,86.718,78.8565,37387112448,Real Estate Services,Real Estate,NMS,CSGP
2024-03-18 00:00:00-04:00,96.33000183105467,100.37999725341795,93.9499969482422,95.72000122070312,14505900,0.0,0.0,2862073,3121380,97.43,68.26,86.718,78.8565,37387112448,Real Estate Services,Real Estate,NMS,CSGP
2024-03-25 00:00:00-04:00,96.22000122070312,97.63999938964844,94.48999786376952,96.5999984741211,7830300,0.0,0.0,2862073,3121380,97.43,68.26,86.718,78.8565,37387112448,Real Estate Services,Real Estate,NMS,CSGP
2024-04-01 00:00:00-04:00,96.9800033569336,96.9800033569336,91.69000244140624,94.75,7392800,0.0,0.0,2862073,3121380,97.43,68.26,86.718,78.8565,37387112448,Real Estate Services,Real Estate,NMS,CSGP
2024-04-08 00:00:00-04:00,95.11000061035156,95.70999908447266,89.5999984741211,90.33999633789062,8415000,0.0,0.0,2862073,3121380,97.43,68.26,86.718,78.8565,37387112448,Real Estate Services,Real Estate,NMS,CSGP
2024-04-15 00:00:00-04:00,91.58000183105467,91.69000244140624,84.06999969482422,84.26000213623047,9775200,0.0,0.0,2862073,3121380,97.43,68.26,86.718,78.8565,37387112448,Real Estate Services,Real Estate,NMS,CSGP
2024-04-22 00:00:00-04:00,83.37999725341797,93.94000244140624,83.16000366210938,92.6500015258789,16732700,0.0,0.0,2862073,3121380,97.43,68.26,86.718,78.8565,37387112448,Real Estate Services,Real Estate,NMS,CSGP
2024-04-29 00:00:00-04:00,92.6500015258789,93.29000091552734,88.87000274658203,91.2300033569336,9178100,0.0,0.0,2862073,3121380,97.43,68.26,86.718,78.8565,37387112448,Real Estate Services,Real Estate,NMS,CSGP
2024-05-06 00:00:00-04:00,91.5199966430664,92.73999786376952,89.83000183105469,89.87999725341797,6221900,0.0,0.0,2862073,3121380,97.43,68.26,86.718,78.8565,37387112448,Real Estate Services,Real Estate,NMS,CSGP
2024-05-13 00:00:00-04:00,90.36000061035156,90.93000030517578,87.16000366210938,87.5,7840200,0.0,0.0,2862073,3121380,97.43,68.26,86.718,78.8565,37387112448,Real Estate Services,Real Estate,NMS,CSGP
2024-05-20 00:00:00-04:00,87.62999725341797,87.86000061035156,85.30000305175781,85.93000030517578,7315400,0.0,0.0,2862073,3121380,97.43,68.26,86.718,78.8565,37387112448,Real Estate Services,Real Estate,NMS,CSGP
2024-05-27 00:00:00-04:00,85.5,85.77999877929688,77.37000274658203,78.16999816894531,10297100,0.0,0.0,2862073,3121380,97.43,68.26,86.718,78.8565,37387112448,Real Estate Services,Real Estate,NMS,CSGP
2024-06-03 00:00:00-04:00,78.48999786376953,79.29000091552734,75.44999694824219,76.20999908447266,13092200,0.0,0.0,2862073,3121380,97.43,68.26,86.718,78.8565,37387112448,Real Estate Services,Real Estate,NMS,CSGP
2024-06-10 00:00:00-04:00,76.1500015258789,79.83000183105469,73.7699966430664,73.93000030517578,12849300,0.0,0.0,2862073,3121380,97.43,68.26,86.718,78.8565,37387112448,Real Estate Services,Real Estate,NMS,CSGP
