Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,marketCap,industry,sector,exchange,Symbol
2006-11-13 00:00:00-05:00,24.5,25.18000030517578,23.5,24.739999771118164,18358000,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2006-11-20 00:00:00-05:00,24.690000534057617,27.959999084472656,24.290000915527344,27.75,4480000,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2006-11-27 00:00:00-05:00,28.38999938964844,28.950000762939453,27.559999465942383,27.88999938964844,2415700,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2006-12-04 00:00:00-05:00,28.0,28.39999961853028,26.39999961853028,27.530000686645508,1614100,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2006-12-11 00:00:00-05:00,27.31999969482422,29.280000686645508,26.5,29.049999237060547,4058900,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2006-12-18 00:00:00-05:00,29.31999969482422,29.8700008392334,26.540000915527344,27.530000686645508,2261800,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2006-12-25 00:00:00-05:00,27.6299991607666,30.0,27.040000915527344,29.84000015258789,2627500,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-01-01 00:00:00-05:00,30.170000076293945,30.290000915527344,27.729999542236328,28.14999961853028,1336800,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-01-08 00:00:00-05:00,28.26000022888184,29.770000457763672,28.26000022888184,29.530000686645508,1356300,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-01-15 00:00:00-05:00,29.559999465942383,30.46999931335449,27.700000762939453,27.709999084472656,1082700,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-01-22 00:00:00-05:00,27.75,30.299999237060547,27.540000915527344,29.13999938964844,1799400,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-01-29 00:00:00-05:00,29.14999961853028,33.88999938964844,29.0,31.200000762939453,2623600,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-02-05 00:00:00-05:00,31.200000762939453,34.470001220703125,31.13999938964844,32.86000061035156,1772800,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-02-12 00:00:00-05:00,32.90999984741211,46.86000061035156,32.599998474121094,45.2599983215332,9933700,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-02-19 00:00:00-05:00,44.970001220703125,51.88999938964844,44.900001525878906,49.43000030517578,5010000,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-02-26 00:00:00-05:00,49.70000076293945,52.70000076293945,45.20000076293945,46.27000045776367,6333000,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-03-05 00:00:00-05:00,45.0,54.09999847412109,42.59999847412109,52.060001373291016,6442800,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-03-12 00:00:00-04:00,51.9900016784668,57.93999862670898,50.22999954223633,51.52000045776367,10500800,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-03-19 00:00:00-04:00,53.209999084472656,59.880001068115234,51.709999084472656,58.25,8438500,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-03-26 00:00:00-04:00,59.09000015258789,59.58000183105469,51.5,52.0099983215332,8265600,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-04-02 00:00:00-04:00,52.09999847412109,58.459999084472656,52.08000183105469,56.459999084472656,4964100,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-04-09 00:00:00-04:00,57.43000030517578,63.70000076293945,56.0,61.2599983215332,9591300,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-04-16 00:00:00-04:00,61.869998931884766,65.12999725341797,59.25,60.90999984741211,8523000,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-04-23 00:00:00-04:00,61.15999984741211,65.5999984741211,61.02000045776367,63.63999938964844,6067700,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-04-30 00:00:00-04:00,63.68000030517578,67.5,54.20000076293945,66.69999694824219,15180800,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-05-07 00:00:00-04:00,66.94999694824219,72.4800033569336,65.7699966430664,67.87000274658203,12662700,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-05-14 00:00:00-04:00,67.95999908447266,68.94999694824219,61.900001525878906,63.41999816894531,11654200,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-05-21 00:00:00-04:00,62.5,67.70999908447266,61.43000030517578,66.72000122070312,10345000,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-05-28 00:00:00-04:00,67.0999984741211,69.11000061035156,65.36000061035156,68.16999816894531,5367000,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-06-04 00:00:00-04:00,67.33999633789062,73.26000213623047,67.22000122070312,71.22000122070312,7117000,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-06-11 00:00:00-04:00,71.22000122070312,78.33000183105469,68.3499984741211,78.0999984741211,8577000,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-06-18 00:00:00-04:00,78.68000030517578,84.9000015258789,77.0,84.63999938964844,11590500,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-06-25 00:00:00-04:00,84.8499984741211,91.0999984741211,84.6500015258789,89.29000091552734,12066100,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-07-02 00:00:00-04:00,89.3499984741211,98.87000274658205,88.5999984741211,96.29000091552734,7353900,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-07-09 00:00:00-04:00,105.43000030517578,119.8499984741211,105.43000030517578,115.97000122070312,21143100,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-07-16 00:00:00-04:00,114.48999786376952,116.3000030517578,105.5,110.13999938964844,14874300,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-07-23 00:00:00-04:00,110.48999786376952,114.0,105.0199966430664,110.69000244140624,8687900,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-07-30 00:00:00-04:00,112.0,123.20999908447266,96.41000366210938,100.0500030517578,19039000,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-08-06 00:00:00-04:00,100.5999984741211,112.8000030517578,92.79000091552734,94.41999816894533,18077300,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-08-13 00:00:00-04:00,96.0,98.06999969482422,74.7699966430664,85.20999908447266,16220500,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-08-20 00:00:00-04:00,89.98999786376953,99.8499984741211,88.20999908447266,97.5500030517578,11882000,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-08-27 00:00:00-04:00,97.5,104.9000015258789,90.77999877929688,103.73999786376952,10387100,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
2007-09-03 00:00:00-04:00,103.5,108.48999786376952,97.86000061035156,99.94000244140624,7309000,0.0,0.0,1396793,3645700,262.72,116.56,178.912,165.4094,20933736448,Solar,Technology,NMS,FSLR
