Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,marketCap,industry,sector,exchange,Symbol
2006-11-13 00:00:00-05:00,16.833394536484754,17.7552229791289,16.432599428473214,17.594905853271484,27619100,0.0,0.0,839779,1135950,72.6,43.89,48.4802,52.6141,6398293504,Engineering & Construction,Industrials,NYQ,KBR
2006-11-20 00:00:00-05:00,17.715146214484943,18.292290689156456,16.79331766076476,17.634986877441406,5568100,0.0,0.0,839779,1135950,72.6,43.89,48.4802,52.6141,6398293504,Engineering & Construction,Industrials,NYQ,KBR
2006-11-27 00:00:00-05:00,17.659023789771275,18.035770444197592,17.162037442588012,17.66703987121582,4570500,0.0,0.0,839779,1135950,72.6,43.89,48.4802,52.6141,6398293504,Engineering & Construction,Industrials,NYQ,KBR
2006-12-04 00:00:00-05:00,17.643002964036977,17.747209031955045,16.841412651426005,17.634986877441406,2644500,0.0,0.0,839779,1135950,72.6,43.89,48.4802,52.6141,6398293504,Engineering & Construction,Industrials,NYQ,KBR
2006-12-11 00:00:00-05:00,17.62696472115593,19.15800156873087,17.434583295843606,18.997684478759766,3435300,0.0,0.0,839779,1135950,72.6,43.89,48.4802,52.6141,6398293504,Engineering & Construction,Industrials,NYQ,KBR
2006-12-18 00:00:00-05:00,18.797288623186265,21.803251524831502,18.42054029434318,21.642932891845703,4350600,0.0,0.0,839779,1135950,72.6,43.89,48.4802,52.6141,6398293504,Engineering & Construction,Industrials,NYQ,KBR
2006-12-25 00:00:00-05:00,21.642930699520115,22.14793174312113,20.52070496903103,20.969594955444336,1128500,0.0,0.0,839779,1135950,72.6,43.89,48.4802,52.6141,6398293504,Engineering & Construction,Industrials,NYQ,KBR
2007-01-01 00:00:00-05:00,20.841343544518253,20.841343544518253,19.085860717865437,19.510704040527344,1824700,0.0,0.0,839779,1135950,72.6,43.89,48.4802,52.6141,6398293504,Engineering & Construction,Industrials,NYQ,KBR
2007-01-08 00:00:00-05:00,19.5107036832977,20.921502480872835,19.40649611129245,19.943561553955078,2155700,0.0,0.0,839779,1135950,72.6,43.89,48.4802,52.6141,6398293504,Engineering & Construction,Industrials,NYQ,KBR
2007-01-15 00:00:00-05:00,20.320302114307015,20.320302114307015,18.57283607312958,19.374425888061523,2699500,0.0,0.0,839779,1135950,72.6,43.89,48.4802,52.6141,6398293504,Engineering & Construction,Industrials,NYQ,KBR
2007-01-22 00:00:00-05:00,19.558800574672482,20.424517929536137,18.34038310370527,18.797290802001953,5990400,0.0,0.0,839779,1135950,72.6,43.89,48.4802,52.6141,6398293504,Engineering & Construction,Industrials,NYQ,KBR
2007-01-29 00:00:00-05:00,18.44458874090705,19.366417067938823,18.44458874090705,19.198083877563477,3617800,0.0,0.0,839779,1135950,72.6,43.89,48.4802,52.6141,6398293504,Engineering & Construction,Industrials,NYQ,KBR
2007-02-05 00:00:00-05:00,19.222124704608326,19.222124704608326,17.474658544387328,17.79529571533203,2753800,0.0,0.0,839779,1135950,72.6,43.89,48.4802,52.6141,6398293504,Engineering & Construction,Industrials,NYQ,KBR
2007-02-12 00:00:00-05:00,17.554827307991793,19.13396118143326,17.362445818981534,18.34038543701172,4337000,0.0,0.0,839779,1135950,72.6,43.89,48.4802,52.6141,6398293504,Engineering & Construction,Industrials,NYQ,KBR
